C0-I	C1-I
TRINITY_DN10799_c0_g1_i1	TRINITY_DN1094_c7_g1_i9
TRINITY_DN107_c0_g1_i2	TRINITY_DN10950_c3_g1_i1
TRINITY_DN1080_c0_g4_i1	TRINITY_DN10951_c0_g2_i2
TRINITY_DN1081_c0_g2_i1	TRINITY_DN10957_c0_g1_i4
TRINITY_DN1082_c0_g3_i1	TRINITY_DN10963_c0_g1_i4
TRINITY_DN10830_c0_g2_i1	TRINITY_DN10965_c0_g1_i1
TRINITY_DN1083_c0_g2_i1	TRINITY_DN109689_c0_g1_i2
TRINITY_DN10843_c0_g1_i4	TRINITY_DN1096_c0_g1_i14
TRINITY_DN10849_c0_g1_i2	TRINITY_DN1096_c0_g1_i19
TRINITY_DN10855_c0_g2_i4	TRINITY_DN1096_c11_g1_i1
TRINITY_DN10863_c1_g1_i1	TRINITY_DN1097_c0_g1_i12
TRINITY_DN10868_c0_g1_i1	TRINITY_DN1097_c3_g1_i1
TRINITY_DN10868_c0_g1_i3	TRINITY_DN1098_c0_g1_i4
TRINITY_DN1086_c0_g1_i5	TRINITY_DN10991_c0_g1_i1
TRINITY_DN10871_c0_g1_i1	TRINITY_DN10994_c0_g1_i4
TRINITY_DN1087_c0_g1_i1	TRINITY_DN10994_c0_g1_i7
TRINITY_DN1088_c0_g2_i3	TRINITY_DN10994_c0_g2_i1
TRINITY_DN1089_c0_g1_i2	TRINITY_DN10995_c0_g3_i1
TRINITY_DN1089_c0_g2_i2	TRINITY_DN10_c0_g2_i1
TRINITY_DN10902_c0_g1_i1	TRINITY_DN10_c2_g1_i6
TRINITY_DN10905_c0_g1_i4	TRINITY_DN10_c36_g1_i1
TRINITY_DN1090_c0_g1_i13	TRINITY_DN10_c3_g1_i10
TRINITY_DN1090_c0_g1_i2	TRINITY_DN11004_c0_g1_i9
TRINITY_DN1090_c0_g1_i8	TRINITY_DN1100_c0_g1_i1
TRINITY_DN10910_c0_g1_i1	TRINITY_DN11011_c2_g1_i1
TRINITY_DN10934_c0_g1_i4	TRINITY_DN11017_c0_g1_i2
TRINITY_DN1096_c0_g1_i11	TRINITY_DN11017_c0_g1_i5
TRINITY_DN1096_c0_g3_i1	TRINITY_DN11019_c0_g1_i5
TRINITY_DN10971_c0_g1_i10	TRINITY_DN110213_c0_g2_i1
TRINITY_DN10975_c0_g1_i2	TRINITY_DN11024_c0_g1_i8
TRINITY_DN10978_c0_g1_i6	TRINITY_DN11028_c0_g1_i3
TRINITY_DN10982_c0_g2_i1	TRINITY_DN11031_c0_g1_i3
TRINITY_DN10987_c0_g3_i1	TRINITY_DN11031_c0_g1_i5
TRINITY_DN10988_c2_g1_i1	TRINITY_DN11031_c0_g1_i7
TRINITY_DN10994_c1_g1_i3	TRINITY_DN1103_c1_g2_i1
TRINITY_DN10996_c0_g4_i1	TRINITY_DN11062_c0_g1_i5
TRINITY_DN1099_c1_g1_i1	TRINITY_DN11062_c0_g3_i10
TRINITY_DN11011_c0_g1_i1	TRINITY_DN11062_c0_g3_i14
TRINITY_DN11021_c0_g1_i4	TRINITY_DN11066_c0_g1_i1
TRINITY_DN11045_c0_g1_i1	TRINITY_DN1107_c0_g4_i1
TRINITY_DN11048_c0_g1_i4	TRINITY_DN1107_c1_g2_i3
TRINITY_DN11048_c3_g2_i2	TRINITY_DN11086_c0_g1_i4
TRINITY_DN1104_c0_g1_i7	TRINITY_DN110_c1_g2_i2
TRINITY_DN11057_c0_g1_i4	TRINITY_DN110_c2_g1_i2
TRINITY_DN11061_c0_g2_i1	TRINITY_DN11106_c0_g1_i8
TRINITY_DN1106_c0_g1_i11	TRINITY_DN11107_c0_g5_i1
TRINITY_DN11079_c0_g1_i1	TRINITY_DN1110_c2_g3_i2
TRINITY_DN1107_c3_g5_i2	TRINITY_DN11112_c1_g1_i1
TRINITY_DN11088_c0_g1_i2	TRINITY_DN11126_c1_g2_i2
TRINITY_DN1108_c0_g1_i1	TRINITY_DN11135_c0_g2_i8
TRINITY_DN1108_c0_g1_i4	TRINITY_DN11138_c0_g1_i4
TRINITY_DN11090_c0_g1_i2	TRINITY_DN11139_c0_g1_i3
TRINITY_DN11094_c0_g1_i1	TRINITY_DN1113_c0_g4_i2
TRINITY_DN11096_c0_g1_i2	TRINITY_DN1113_c0_g6_i1
TRINITY_DN110_c0_g3_i1	TRINITY_DN1113_c0_g7_i1
TRINITY_DN110_c0_g4_i2	TRINITY_DN1115_c0_g1_i2
TRINITY_DN11107_c0_g1_i5	TRINITY_DN11184_c0_g1_i9
TRINITY_DN11107_c0_g1_i6	TRINITY_DN11185_c0_g1_i1
TRINITY_DN1110_c0_g1_i2	TRINITY_DN11187_c0_g2_i2
TRINITY_DN1110_c2_g4_i1	TRINITY_DN1118_c1_g1_i2
TRINITY_DN11126_c0_g1_i1	TRINITY_DN11192_c0_g1_i1
TRINITY_DN11126_c0_g1_i2	TRINITY_DN11202_c0_g1_i1
TRINITY_DN11126_c0_g1_i5	TRINITY_DN11204_c0_g2_i2
TRINITY_DN1112_c0_g1_i14	TRINITY_DN1120_c0_g1_i3
TRINITY_DN1112_c0_g1_i3	TRINITY_DN1120_c2_g2_i2
TRINITY_DN11150_c1_g1_i1	TRINITY_DN11213_c0_g1_i1
