C0-III	C1-III	C2-II
TRINITY_DN1021_c0_g1_i21	TRINITY_DN104058_c0_g1_i3	TRINITY_DN1031_c0_g1_i7
TRINITY_DN10232_c1_g1_i2	TRINITY_DN10405_c0_g1_i1	TRINITY_DN10328_c2_g1_i2
TRINITY_DN10239_c0_g1_i2	TRINITY_DN10407_c0_g1_i1	TRINITY_DN103340_c0_g2_i7
TRINITY_DN10242_c0_g1_i3	TRINITY_DN10407_c1_g1_i4	TRINITY_DN103340_c0_g3_i4
TRINITY_DN10243_c0_g1_i2	TRINITY_DN1040_c0_g4_i1	TRINITY_DN10338_c1_g1_i1
TRINITY_DN10261_c0_g1_i2	TRINITY_DN10413_c0_g1_i1	TRINITY_DN10341_c1_g1_i5
TRINITY_DN10262_c0_g1_i1	TRINITY_DN1041_c0_g1_i3	TRINITY_DN103465_c0_g2_i1
TRINITY_DN10271_c0_g2_i1	TRINITY_DN10427_c0_g1_i1	TRINITY_DN1034_c3_g1_i1
TRINITY_DN10276_c0_g1_i1	TRINITY_DN1042_c0_g1_i1	TRINITY_DN10365_c0_g1_i1
TRINITY_DN1027_c0_g1_i5	TRINITY_DN10441_c0_g1_i1	TRINITY_DN1037_c1_g1_i17
TRINITY_DN1027_c0_g1_i6	TRINITY_DN10444_c1_g1_i1	TRINITY_DN10385_c0_g1_i2
TRINITY_DN10285_c0_g1_i1	TRINITY_DN10453_c5_g1_i1	TRINITY_DN10389_c0_g1_i5
TRINITY_DN10292_c2_g1_i2	TRINITY_DN10458_c5_g1_i1	TRINITY_DN10389_c1_g2_i3
TRINITY_DN10295_c0_g1_i5	TRINITY_DN1045_c0_g2_i3	TRINITY_DN1039_c3_g2_i7
TRINITY_DN10295_c0_g1_i6	TRINITY_DN104688_c0_g1_i3	TRINITY_DN1039_c88_g1_i1
TRINITY_DN10299_c0_g1_i2	TRINITY_DN104702_c0_g1_i1	TRINITY_DN103_c0_g2_i5
TRINITY_DN10299_c0_g1_i8	TRINITY_DN10471_c0_g1_i5	TRINITY_DN10400_c0_g1_i1
