C0-III	C1-III	C2-II
TRINITY_DN273_c2_g2_i8	TRINITY_DN4665_c0_g2_i1	TRINITY_DN342_c2_g1_i9
TRINITY_DN27406_c0_g1_i6	TRINITY_DN4666_c0_g1_i5	TRINITY_DN3431_c5_g3_i1
TRINITY_DN2740_c0_g1_i9	TRINITY_DN4666_c1_g1_i1	TRINITY_DN34327_c0_g1_i2
TRINITY_DN27416_c0_g1_i1	TRINITY_DN4668_c0_g1_i12	TRINITY_DN3433_c0_g1_i17
TRINITY_DN27427_c0_g1_i5	TRINITY_DN46717_c0_g2_i2	TRINITY_DN3434_c1_g2_i1
TRINITY_DN27427_c0_g2_i1	TRINITY_DN4672_c0_g3_i1	TRINITY_DN34397_c3_g1_i1
TRINITY_DN27431_c0_g2_i1	TRINITY_DN4672_c0_g4_i2	TRINITY_DN3439_c0_g1_i15
TRINITY_DN27448_c1_g1_i1	TRINITY_DN4680_c0_g2_i2	TRINITY_DN3440_c0_g2_i1
TRINITY_DN27464_c0_g1_i2	TRINITY_DN4680_c0_g2_i6	TRINITY_DN34423_c0_g3_i1
TRINITY_DN2746_c0_g3_i1	TRINITY_DN4686_c4_g1_i1	TRINITY_DN3445_c0_g1_i6
TRINITY_DN2746_c1_g3_i2	TRINITY_DN46906_c0_g1_i6	TRINITY_DN3449_c0_g2_i1
TRINITY_DN27471_c0_g1_i1	TRINITY_DN4695_c0_g1_i2	TRINITY_DN3449_c1_g1_i14
TRINITY_DN2748_c1_g1_i1	TRINITY_DN46963_c0_g1_i1	TRINITY_DN3449_c1_g1_i5
TRINITY_DN2748_c1_g1_i2	TRINITY_DN46963_c0_g1_i3	TRINITY_DN3449_c3_g1_i6
TRINITY_DN2748_c2_g1_i1	TRINITY_DN46989_c0_g1_i6	TRINITY_DN3449_c3_g1_i7
TRINITY_DN2748_c2_g1_i5	TRINITY_DN4702_c0_g1_i2	TRINITY_DN3452_c2_g3_i1
TRINITY_DN27492_c2_g1_i1	TRINITY_DN4702_c0_g1_i8	TRINITY_DN3452_c3_g1_i1
TRINITY_DN2749_c1_g1_i5	TRINITY_DN4703_c0_g1_i4	TRINITY_DN34544_c0_g5_i1
TRINITY_DN27507_c0_g1_i4	TRINITY_DN4703_c0_g1_i7	TRINITY_DN34575_c0_g1_i1
TRINITY_DN2750_c0_g1_i2	TRINITY_DN47085_c0_g1_i1	TRINITY_DN3457_c0_g1_i1
TRINITY_DN2750_c0_g1_i5	TRINITY_DN47094_c2_g1_i1	TRINITY_DN3457_c0_g2_i1
TRINITY_DN27514_c0_g1_i3	TRINITY_DN470_c1_g3_i1	TRINITY_DN3458_c0_g1_i4
TRINITY_DN27517_c1_g1_i1	TRINITY_DN4712_c0_g5_i2	TRINITY_DN3458_c0_g1_i5
TRINITY_DN2752_c0_g1_i10	TRINITY_DN471_c0_g3_i1	TRINITY_DN345_c0_g1_i4
TRINITY_DN2752_c0_g1_i3	TRINITY_DN4721_c0_g1_i2	TRINITY_DN34615_c0_g1_i1
TRINITY_DN27534_c0_g1_i6	TRINITY_DN47247_c2_g1_i2	TRINITY_DN34616_c0_g1_i1
TRINITY_DN27561_c1_g1_i1	TRINITY_DN4732_c0_g1_i1	TRINITY_DN34624_c0_g4_i1
TRINITY_DN27565_c0_g1_i4	TRINITY_DN4732_c0_g1_i9	TRINITY_DN34642_c0_g1_i1
TRINITY_DN2758_c0_g1_i2	TRINITY_DN4740_c0_g4_i1	TRINITY_DN3466_c0_g1_i2
TRINITY_DN27595_c0_g3_i3	TRINITY_DN47427_c0_g2_i1	TRINITY_DN3469_c0_g1_i5
TRINITY_DN275_c1_g1_i1	TRINITY_DN4744_c0_g1_i10	TRINITY_DN34726_c1_g2_i1
TRINITY_DN27610_c1_g1_i1	TRINITY_DN47484_c0_g1_i1	TRINITY_DN3475_c2_g1_i2
TRINITY_DN2762_c0_g2_i1	TRINITY_DN4749_c0_g1_i2	TRINITY_DN3476_c0_g1_i4
TRINITY_DN2762_c0_g4_i1	TRINITY_DN4749_c0_g1_i4	TRINITY_DN3476_c0_g2_i14
TRINITY_DN2763_c0_g2_i1	TRINITY_DN4754_c0_g1_i3	TRINITY_DN34777_c0_g2_i1
TRINITY_DN27641_c1_g1_i1	TRINITY_DN4756_c0_g2_i8	TRINITY_DN3478_c0_g2_i10
TRINITY_DN27649_c0_g2_i1	TRINITY_DN47574_c2_g1_i2	TRINITY_DN3478_c0_g4_i1
TRINITY_DN27701_c0_g1_i1	TRINITY_DN4759_c0_g1_i13	TRINITY_DN34804_c0_g2_i1
TRINITY_DN27722_c0_g1_i1	TRINITY_DN475_c0_g1_i8	TRINITY_DN34814_c0_g2_i2
TRINITY_DN27741_c0_g1_i1	TRINITY_DN475_c1_g1_i3	TRINITY_DN34818_c0_g2_i1
TRINITY_DN27767_c0_g1_i1	TRINITY_DN47615_c0_g2_i1	TRINITY_DN3481_c1_g3_i1
TRINITY_DN27768_c0_g1_i3	TRINITY_DN4764_c0_g2_i1	TRINITY_DN3484_c1_g2_i2
TRINITY_DN27776_c0_g1_i3	TRINITY_DN476_c0_g3_i4	TRINITY_DN3486_c0_g1_i12
TRINITY_DN2777_c0_g1_i10	TRINITY_DN476_c1_g1_i1	TRINITY_DN3486_c0_g1_i15
TRINITY_DN2777_c0_g1_i9	TRINITY_DN476_c1_g1_i2	TRINITY_DN34889_c0_g1_i2
TRINITY_DN277_c0_g4_i1	TRINITY_DN4775_c0_g4_i2	TRINITY_DN34894_c1_g1_i2
TRINITY_DN277_c1_g1_i1	TRINITY_DN4776_c0_g1_i2	TRINITY_DN3492_c1_g1_i1
TRINITY_DN2781_c0_g2_i9	TRINITY_DN4785_c0_g1_i3	TRINITY_DN34936_c0_g1_i2
TRINITY_DN27824_c0_g1_i3	TRINITY_DN4785_c0_g1_i4	TRINITY_DN34936_c0_g3_i2
TRINITY_DN27840_c0_g1_i6	TRINITY_DN478_c0_g1_i4	TRINITY_DN3493_c0_g1_i5
TRINITY_DN2784_c1_g1_i5	TRINITY_DN478_c1_g1_i7	TRINITY_DN3495_c1_g1_i4
TRINITY_DN2785_c0_g2_i2	TRINITY_DN47931_c0_g1_i3	TRINITY_DN3495_c1_g1_i5
TRINITY_DN2785_c0_g2_i3	TRINITY_DN47936_c0_g1_i2	TRINITY_DN3496_c0_g1_i7
TRINITY_DN2787_c0_g1_i6	TRINITY_DN4794_c0_g1_i1	TRINITY_DN349836_c0_g1_i1
TRINITY_DN2788_c0_g1_i11	TRINITY_DN47997_c0_g1_i1	TRINITY_DN34983_c0_g1_i2
TRINITY_DN27901_c0_g1_i3	TRINITY_DN479_c0_g1_i7	TRINITY_DN34983_c0_g1_i3
TRINITY_DN27915_c1_g2_i1	TRINITY_DN48061_c0_g1_i5	TRINITY_DN34995_c0_g1_i2
TRINITY_DN2791_c0_g2_i2	TRINITY_DN48146_c0_g1_i1	TRINITY_DN349968_c0_g1_i1
TRINITY_DN2792_c0_g1_i16	TRINITY_DN4815_c2_g1_i2	TRINITY_DN3499_c0_g2_i1
TRINITY_DN27934_c0_g2_i1	TRINITY_DN48161_c0_g1_i1	TRINITY_DN349_c0_g1_i4
TRINITY_DN2794_c0_g1_i4	TRINITY_DN4816_c0_g2_i1	TRINITY_DN349_c0_g1_i8
TRINITY_DN27956_c0_g1_i1	TRINITY_DN4818_c0_g2_i2	TRINITY_DN350511_c0_g1_i1
TRINITY_DN27959_c0_g1_i1	TRINITY_DN48216_c0_g2_i1	TRINITY_DN3507_c0_g1_i1
TRINITY_DN2795_c0_g1_i3	TRINITY_DN482_c0_g1_i3	TRINITY_DN350_c2_g1_i1
TRINITY_DN2797_c0_g1_i10	TRINITY_DN4832_c1_g1_i2	TRINITY_DN35101_c0_g1_i4
TRINITY_DN2797_c0_g1_i7	TRINITY_DN4836_c2_g1_i2	TRINITY_DN35132_c0_g2_i4
TRINITY_DN27_c3_g1_i1	TRINITY_DN4837_c0_g1_i2	TRINITY_DN35149_c0_g1_i1
TRINITY_DN28013_c0_g1_i3	TRINITY_DN483_c0_g3_i4	TRINITY_DN35153_c0_g1_i4
TRINITY_DN2801_c0_g1_i11	TRINITY_DN483_c2_g3_i2	TRINITY_DN3518_c0_g1_i3
TRINITY_DN28035_c0_g1_i1	TRINITY_DN4845_c0_g1_i4	TRINITY_DN35191_c0_g1_i2
TRINITY_DN28039_c0_g1_i9	TRINITY_DN48468_c2_g1_i1	TRINITY_DN3519_c0_g1_i2
TRINITY_DN2804_c0_g1_i5	TRINITY_DN48486_c0_g1_i4	TRINITY_DN352080_c0_g1_i1
TRINITY_DN2805_c0_g1_i1	TRINITY_DN48542_c0_g1_i1	TRINITY_DN35224_c0_g1_i5
TRINITY_DN2805_c0_g1_i2	TRINITY_DN4860_c0_g1_i8	TRINITY_DN35227_c0_g1_i1
TRINITY_DN2808_c3_g2_i1	TRINITY_DN4860_c0_g3_i1	TRINITY_DN352375_c0_g1_i1
TRINITY_DN28092_c0_g1_i6	TRINITY_DN4861_c0_g1_i2	TRINITY_DN3523_c0_g3_i1
TRINITY_DN280_c0_g1_i14	TRINITY_DN4861_c0_g1_i3	TRINITY_DN3524_c1_g3_i2
TRINITY_DN280_c0_g1_i9	TRINITY_DN4861_c0_g1_i4	TRINITY_DN352687_c0_g1_i1
TRINITY_DN28118_c0_g1_i4	TRINITY_DN4861_c0_g1_i5	TRINITY_DN3526_c0_g1_i1
TRINITY_DN2812_c0_g1_i1	TRINITY_DN4861_c0_g1_i8	TRINITY_DN35287_c0_g1_i5
TRINITY_DN28132_c0_g1_i2	TRINITY_DN4865_c0_g1_i1	TRINITY_DN35306_c0_g1_i1
TRINITY_DN2814_c0_g1_i4	TRINITY_DN48735_c0_g2_i2	TRINITY_DN3530_c1_g1_i5
TRINITY_DN28155_c1_g1_i1	TRINITY_DN48775_c0_g1_i1	TRINITY_DN35316_c0_g1_i2
TRINITY_DN28169_c0_g1_i1	TRINITY_DN48795_c3_g1_i1	TRINITY_DN35319_c0_g1_i1
TRINITY_DN2817_c0_g1_i7	TRINITY_DN4879_c0_g1_i1	TRINITY_DN3532_c1_g1_i4
TRINITY_DN2818_c0_g1_i10	TRINITY_DN487_c0_g6_i1	TRINITY_DN3532_c2_g1_i6
TRINITY_DN2818_c0_g1_i3	TRINITY_DN487_c0_g7_i1	TRINITY_DN353529_c0_g1_i1
TRINITY_DN2818_c0_g1_i4	TRINITY_DN4893_c0_g1_i1	TRINITY_DN35374_c0_g1_i2
TRINITY_DN28199_c0_g3_i1	TRINITY_DN4895_c0_g1_i3	TRINITY_DN35399_c0_g1_i5
TRINITY_DN281_c0_g1_i3	TRINITY_DN4896_c0_g1_i1	TRINITY_DN35399_c1_g1_i6
TRINITY_DN281_c0_g1_i7	TRINITY_DN48973_c0_g1_i1	TRINITY_DN35399_c1_g1_i7
TRINITY_DN28200_c0_g3_i1	TRINITY_DN48978_c1_g1_i2	TRINITY_DN3539_c0_g6_i1
TRINITY_DN2820_c0_g1_i1	TRINITY_DN48_c0_g2_i2	TRINITY_DN353_c0_g2_i7
TRINITY_DN2823_c0_g1_i2	TRINITY_DN49016_c2_g1_i1	TRINITY_DN353_c1_g1_i8
TRINITY_DN28242_c1_g2_i2	TRINITY_DN4901_c0_g1_i12	TRINITY_DN35417_c0_g5_i1
TRINITY_DN2825_c0_g1_i2	TRINITY_DN4901_c0_g1_i14	TRINITY_DN35454_c0_g1_i1
TRINITY_DN2826_c0_g1_i5	TRINITY_DN49072_c0_g4_i1	TRINITY_DN35490_c0_g1_i1
TRINITY_DN2827_c0_g1_i4	TRINITY_DN49125_c1_g1_i1	TRINITY_DN3549_c0_g1_i1
TRINITY_DN2828_c0_g3_i1	TRINITY_DN491_c1_g1_i1	TRINITY_DN354_c10_g1_i1
TRINITY_DN2829_c0_g1_i13	TRINITY_DN491_c3_g1_i7	TRINITY_DN354_c10_g2_i6
TRINITY_DN282_c0_g2_i11	TRINITY_DN491_c5_g2_i1	TRINITY_DN354_c1_g1_i15
TRINITY_DN282_c0_g2_i15	TRINITY_DN49222_c0_g1_i2	TRINITY_DN3550_c0_g5_i2
TRINITY_DN282_c0_g2_i17	TRINITY_DN4922_c0_g2_i2	TRINITY_DN3550_c1_g1_i7
TRINITY_DN282_c1_g1_i13	TRINITY_DN49291_c0_g1_i2	TRINITY_DN3551_c0_g1_i1
TRINITY_DN282_c4_g1_i1	TRINITY_DN49291_c0_g2_i1	TRINITY_DN3551_c0_g1_i4
TRINITY_DN28310_c0_g2_i1	TRINITY_DN492_c1_g1_i13	TRINITY_DN35520_c1_g2_i2
TRINITY_DN28320_c1_g1_i1	TRINITY_DN49319_c0_g1_i1	TRINITY_DN35527_c0_g2_i1
TRINITY_DN2833_c0_g1_i4	TRINITY_DN4931_c1_g1_i1	TRINITY_DN3552_c1_g1_i1
TRINITY_DN2835_c1_g1_i1	TRINITY_DN4935_c1_g1_i1	TRINITY_DN355433_c0_g1_i1
TRINITY_DN28363_c1_g1_i6	TRINITY_DN49458_c0_g5_i1	TRINITY_DN35599_c0_g2_i1
TRINITY_DN2838_c0_g1_i1	TRINITY_DN4945_c0_g3_i1	TRINITY_DN355_c0_g1_i9
TRINITY_DN2838_c0_g1_i4	TRINITY_DN4950_c1_g2_i2	TRINITY_DN356538_c0_g1_i1
TRINITY_DN28395_c0_g1_i2	TRINITY_DN49564_c0_g1_i1	TRINITY_DN356578_c0_g1_i1
TRINITY_DN28409_c0_g1_i8	TRINITY_DN49610_c0_g1_i1	TRINITY_DN35679_c0_g5_i1
TRINITY_DN2841_c0_g1_i6	TRINITY_DN4972_c0_g3_i4	TRINITY_DN356822_c0_g1_i1
TRINITY_DN2846_c0_g1_i3	TRINITY_DN4972_c0_g5_i1	TRINITY_DN3568_c0_g2_i1
TRINITY_DN28487_c0_g2_i3	TRINITY_DN49759_c0_g1_i1	TRINITY_DN35700_c0_g2_i1
TRINITY_DN2848_c0_g1_i4	TRINITY_DN4978_c0_g1_i2	TRINITY_DN35710_c0_g1_i2
TRINITY_DN28495_c0_g1_i1	TRINITY_DN4979_c5_g1_i1	TRINITY_DN35740_c0_g1_i3
TRINITY_DN2850_c0_g1_i6	TRINITY_DN4984_c1_g1_i2	TRINITY_DN3575_c0_g1_i5
TRINITY_DN2850_c0_g1_i8	TRINITY_DN49852_c0_g2_i1	TRINITY_DN3578_c0_g2_i3
TRINITY_DN28511_c0_g1_i9	TRINITY_DN49874_c0_g1_i1	TRINITY_DN3578_c1_g1_i2
TRINITY_DN2855_c0_g1_i2	TRINITY_DN4987_c0_g1_i13	TRINITY_DN35814_c0_g1_i7
TRINITY_DN2856_c0_g1_i12	TRINITY_DN49921_c0_g1_i5	TRINITY_DN3582_c1_g2_i1
TRINITY_DN2857_c0_g1_i3	TRINITY_DN4994_c0_g1_i2	TRINITY_DN3583_c0_g1_i10
TRINITY_DN2857_c0_g4_i1	TRINITY_DN5003_c0_g2_i3	TRINITY_DN3583_c0_g1_i5
TRINITY_DN2857_c1_g1_i4	TRINITY_DN50076_c0_g1_i2	TRINITY_DN35877_c0_g1_i21
TRINITY_DN28623_c0_g2_i5	TRINITY_DN50083_c0_g1_i2	TRINITY_DN358967_c0_g1_i1
TRINITY_DN2862_c0_g2_i8	TRINITY_DN5008_c0_g1_i3	TRINITY_DN3589_c0_g2_i1
TRINITY_DN28631_c0_g1_i1	TRINITY_DN500_c0_g1_i3	TRINITY_DN3589_c0_g2_i2
TRINITY_DN28640_c0_g1_i1	TRINITY_DN5010_c1_g1_i8	TRINITY_DN3593_c0_g3_i2
TRINITY_DN28641_c0_g1_i1	TRINITY_DN50115_c0_g1_i1	TRINITY_DN3594_c0_g1_i3
TRINITY_DN2868_c0_g1_i13	TRINITY_DN50118_c0_g2_i1	TRINITY_DN35969_c0_g1_i1
TRINITY_DN2869_c0_g1_i10	TRINITY_DN5012_c4_g1_i1	TRINITY_DN35969_c0_g2_i1
TRINITY_DN2869_c0_g1_i17	TRINITY_DN50151_c0_g3_i1	TRINITY_DN35982_c0_g1_i6
TRINITY_DN2869_c0_g1_i3	TRINITY_DN50167_c0_g1_i1	TRINITY_DN35993_c0_g1_i1
TRINITY_DN2869_c0_g1_i7	TRINITY_DN50242_c0_g2_i2	TRINITY_DN3599_c0_g3_i10
TRINITY_DN2869_c2_g1_i3	TRINITY_DN5024_c0_g1_i1	TRINITY_DN3599_c1_g2_i3
TRINITY_DN286_c0_g1_i1	TRINITY_DN50275_c0_g1_i2	TRINITY_DN3599_c1_g2_i5
TRINITY_DN286_c7_g1_i1	TRINITY_DN5029_c0_g2_i5	TRINITY_DN35_c0_g2_i1
TRINITY_DN28700_c0_g1_i1	TRINITY_DN5029_c0_g8_i1	TRINITY_DN3606_c0_g1_i8
TRINITY_DN2870_c0_g1_i1	TRINITY_DN5035_c0_g1_i1	TRINITY_DN3608_c0_g1_i3
TRINITY_DN28728_c1_g2_i1	TRINITY_DN50380_c0_g1_i2	TRINITY_DN3608_c2_g1_i13
TRINITY_DN2872_c0_g1_i26	TRINITY_DN50394_c0_g2_i6	TRINITY_DN3610_c0_g1_i4
TRINITY_DN2872_c1_g1_i4	TRINITY_DN5040_c0_g1_i5	TRINITY_DN3610_c0_g1_i7
TRINITY_DN2875_c0_g1_i9	TRINITY_DN5041_c0_g1_i4	TRINITY_DN3610_c3_g1_i1
TRINITY_DN2876_c0_g1_i7	TRINITY_DN50423_c0_g1_i1	TRINITY_DN3611_c0_g1_i1
TRINITY_DN2876_c1_g4_i2	TRINITY_DN5042_c2_g1_i3	TRINITY_DN3611_c0_g1_i5
TRINITY_DN287712_c0_g1_i1	TRINITY_DN5043_c0_g1_i1	TRINITY_DN3613_c0_g1_i1
TRINITY_DN28796_c0_g2_i1	TRINITY_DN5044_c0_g1_i6	TRINITY_DN3614_c2_g1_i3
TRINITY_DN287_c3_g1_i1	TRINITY_DN50458_c1_g2_i1	TRINITY_DN36152_c1_g2_i3
TRINITY_DN28805_c0_g1_i1	TRINITY_DN50499_c0_g1_i1	TRINITY_DN36194_c0_g1_i1
TRINITY_DN2881_c0_g2_i3	TRINITY_DN504_c0_g2_i1	TRINITY_DN361_c0_g1_i1
TRINITY_DN2883_c0_g2_i1	TRINITY_DN5052_c0_g1_i2	TRINITY_DN361_c0_g1_i12
TRINITY_DN28853_c0_g1_i1	TRINITY_DN50568_c0_g5_i1	TRINITY_DN361_c0_g1_i8
TRINITY_DN2885_c0_g1_i11	TRINITY_DN50580_c0_g1_i1	TRINITY_DN36239_c0_g1_i1
TRINITY_DN2885_c0_g1_i5	TRINITY_DN50597_c0_g1_i2	TRINITY_DN36239_c0_g1_i3
TRINITY_DN28862_c0_g1_i5	TRINITY_DN505_c0_g1_i3	TRINITY_DN3623_c0_g1_i9
TRINITY_DN28872_c0_g2_i1	TRINITY_DN50600_c0_g1_i3	TRINITY_DN3625_c1_g1_i1
TRINITY_DN288738_c0_g1_i1	TRINITY_DN50603_c0_g1_i2	TRINITY_DN3625_c1_g1_i9
TRINITY_DN288754_c0_g1_i1	TRINITY_DN50629_c0_g1_i3	TRINITY_DN362605_c0_g1_i1
TRINITY_DN2888_c0_g1_i13	TRINITY_DN5062_c1_g1_i3	TRINITY_DN362_c0_g3_i1
TRINITY_DN28899_c0_g1_i4	TRINITY_DN50664_c0_g2_i11	TRINITY_DN362_c0_g4_i2
TRINITY_DN288_c0_g1_i1	TRINITY_DN50664_c0_g2_i7	TRINITY_DN36318_c0_g2_i4
TRINITY_DN28922_c2_g1_i2	TRINITY_DN50667_c1_g1_i1	TRINITY_DN3633_c0_g2_i1
TRINITY_DN2896_c0_g2_i3	TRINITY_DN5066_c0_g1_i4	TRINITY_DN3634_c0_g1_i3
TRINITY_DN2896_c2_g2_i2	TRINITY_DN5067_c0_g2_i7	TRINITY_DN3634_c0_g1_i7
TRINITY_DN2896_c3_g1_i3	TRINITY_DN50693_c2_g1_i1	TRINITY_DN3637_c0_g1_i11
TRINITY_DN289975_c0_g1_i1	TRINITY_DN5069_c1_g1_i1	TRINITY_DN3639_c1_g3_i4
TRINITY_DN289_c0_g1_i1	TRINITY_DN5072_c0_g1_i16	TRINITY_DN363_c0_g1_i1
TRINITY_DN2900_c0_g1_i13	TRINITY_DN50773_c0_g1_i1	TRINITY_DN36409_c0_g3_i2
TRINITY_DN2900_c0_g1_i7	TRINITY_DN50795_c1_g1_i1	TRINITY_DN3640_c1_g1_i3
TRINITY_DN2901_c0_g1_i3	TRINITY_DN507_c0_g1_i3	TRINITY_DN36466_c1_g2_i1
TRINITY_DN290238_c0_g1_i1	TRINITY_DN5080_c0_g1_i5	TRINITY_DN3646_c0_g1_i1
TRINITY_DN2902_c0_g1_i10	TRINITY_DN5086_c0_g1_i7	TRINITY_DN3649_c0_g1_i1
TRINITY_DN290456_c0_g1_i1	TRINITY_DN50886_c2_g1_i1	TRINITY_DN3649_c0_g2_i12
TRINITY_DN290471_c0_g1_i1	TRINITY_DN5089_c0_g1_i5	TRINITY_DN36506_c3_g1_i1
TRINITY_DN2905_c0_g1_i5	TRINITY_DN5091_c0_g1_i6	TRINITY_DN36520_c0_g1_i1
TRINITY_DN2905_c2_g1_i1	TRINITY_DN50933_c0_g1_i1	TRINITY_DN36533_c0_g1_i2
TRINITY_DN2906_c0_g1_i6	TRINITY_DN50949_c0_g1_i2	TRINITY_DN3653_c0_g1_i5
TRINITY_DN2906_c0_g1_i8	TRINITY_DN50986_c0_g1_i1	TRINITY_DN3653_c0_g1_i6
TRINITY_DN29072_c0_g1_i3	TRINITY_DN51011_c0_g1_i8	TRINITY_DN3653_c0_g1_i7
TRINITY_DN2907_c0_g1_i11	TRINITY_DN5104_c0_g1_i6	TRINITY_DN3654_c0_g1_i2
TRINITY_DN2907_c0_g1_i2	TRINITY_DN5107_c1_g1_i1	TRINITY_DN3654_c0_g1_i7
TRINITY_DN2908_c0_g1_i4	TRINITY_DN51084_c2_g1_i1	TRINITY_DN36563_c0_g3_i1
TRINITY_DN29094_c0_g1_i1	TRINITY_DN51104_c0_g1_i1	TRINITY_DN36565_c2_g1_i1
TRINITY_DN29106_c1_g1_i1	TRINITY_DN51119_c0_g1_i2	TRINITY_DN3658_c0_g3_i1
TRINITY_DN2910_c0_g1_i1	TRINITY_DN5111_c0_g1_i18	TRINITY_DN36594_c0_g2_i4
TRINITY_DN2912_c0_g5_i1	TRINITY_DN5112_c0_g1_i1	TRINITY_DN365960_c0_g1_i1
TRINITY_DN29131_c0_g1_i2	TRINITY_DN5112_c0_g1_i8	TRINITY_DN3660_c1_g2_i1
TRINITY_DN29138_c0_g1_i2	TRINITY_DN5112_c0_g1_i9	TRINITY_DN36610_c0_g1_i6
TRINITY_DN2913_c2_g1_i1	TRINITY_DN5118_c2_g1_i1	TRINITY_DN36611_c1_g1_i1
TRINITY_DN29166_c0_g1_i2	TRINITY_DN5121_c1_g2_i1	TRINITY_DN3661_c0_g2_i1
TRINITY_DN29168_c1_g1_i1	TRINITY_DN51249_c0_g1_i8	TRINITY_DN36636_c1_g1_i1
TRINITY_DN29184_c0_g1_i1	TRINITY_DN5127_c2_g1_i4	TRINITY_DN36653_c1_g1_i1
TRINITY_DN2918_c0_g1_i2	TRINITY_DN5128_c0_g1_i1	TRINITY_DN3665_c0_g2_i5
TRINITY_DN2919_c0_g1_i1	TRINITY_DN512_c7_g1_i2	TRINITY_DN3666_c0_g1_i3
TRINITY_DN291_c0_g1_i1	TRINITY_DN5131_c0_g1_i3	TRINITY_DN3667_c0_g3_i1
TRINITY_DN291_c0_g1_i5	TRINITY_DN5132_c3_g1_i1	TRINITY_DN3669_c1_g2_i5
TRINITY_DN291_c1_g2_i1	TRINITY_DN51330_c0_g1_i2	TRINITY_DN366_c0_g1_i4
TRINITY_DN2920_c1_g2_i1	TRINITY_DN51380_c0_g1_i4	TRINITY_DN36704_c1_g1_i6
TRINITY_DN2920_c1_g2_i11	TRINITY_DN5138_c0_g2_i8	TRINITY_DN3670_c2_g1_i6
TRINITY_DN2925_c0_g1_i3	TRINITY_DN513_c176_g1_i1	TRINITY_DN3670_c2_g1_i9
TRINITY_DN2926_c0_g2_i8	TRINITY_DN513_c5_g1_i4	TRINITY_DN36721_c0_g1_i1
TRINITY_DN292797_c0_g1_i1	TRINITY_DN5140_c0_g1_i20	TRINITY_DN36725_c0_g3_i1
TRINITY_DN29301_c0_g4_i1	TRINITY_DN51434_c0_g1_i10	TRINITY_DN3675_c0_g2_i1
TRINITY_DN29318_c0_g1_i8	TRINITY_DN51437_c0_g2_i1	TRINITY_DN3678_c0_g1_i4
TRINITY_DN29323_c0_g1_i1	TRINITY_DN51523_c0_g1_i1	TRINITY_DN3678_c0_g3_i3
TRINITY_DN29323_c0_g1_i11	TRINITY_DN5152_c1_g1_i1	TRINITY_DN367_c0_g2_i9
TRINITY_DN29327_c0_g1_i1	TRINITY_DN5154_c1_g1_i10	TRINITY_DN367_c0_g3_i3
TRINITY_DN2934_c0_g1_i2	TRINITY_DN5154_c1_g1_i3	TRINITY_DN36818_c0_g1_i6
TRINITY_DN2934_c0_g1_i3	TRINITY_DN5154_c1_g1_i6	TRINITY_DN3683_c1_g1_i3
TRINITY_DN29368_c0_g3_i1	TRINITY_DN5154_c4_g1_i1	TRINITY_DN3685_c1_g1_i1
TRINITY_DN29377_c0_g1_i1	TRINITY_DN5156_c0_g1_i4	TRINITY_DN3685_c1_g1_i15
TRINITY_DN293831_c0_g1_i1	TRINITY_DN51572_c0_g1_i1	TRINITY_DN3685_c1_g1_i16
TRINITY_DN29383_c0_g2_i1	TRINITY_DN51594_c0_g1_i1	TRINITY_DN36887_c0_g1_i1
TRINITY_DN29394_c0_g1_i1	TRINITY_DN5163_c1_g3_i2	TRINITY_DN3695_c2_g1_i1
TRINITY_DN2939_c1_g3_i2	TRINITY_DN516_c0_g1_i7	TRINITY_DN3698_c0_g1_i12
TRINITY_DN2939_c2_g1_i1	TRINITY_DN5170_c2_g1_i3	TRINITY_DN369974_c0_g1_i1
TRINITY_DN293_c0_g2_i5	TRINITY_DN5172_c0_g2_i3	TRINITY_DN3700_c0_g1_i4
TRINITY_DN293_c0_g3_i1	TRINITY_DN5173_c1_g1_i1	TRINITY_DN37049_c0_g2_i1
TRINITY_DN2941_c0_g1_i14	TRINITY_DN517_c0_g1_i3	TRINITY_DN37078_c0_g2_i1
TRINITY_DN2941_c0_g1_i15	TRINITY_DN51806_c0_g2_i1	TRINITY_DN3708_c0_g1_i6
TRINITY_DN2942_c1_g1_i5	TRINITY_DN51828_c0_g1_i6	TRINITY_DN37098_c0_g1_i1
TRINITY_DN2944_c0_g1_i2	TRINITY_DN5183_c0_g3_i1	TRINITY_DN3709_c0_g1_i2
TRINITY_DN2945_c0_g1_i1	TRINITY_DN5185_c0_g1_i4	TRINITY_DN37107_c0_g1_i1
TRINITY_DN2945_c0_g1_i3	TRINITY_DN51870_c0_g1_i1	TRINITY_DN3710_c2_g2_i1
TRINITY_DN2945_c0_g1_i5	TRINITY_DN51940_c0_g2_i1	TRINITY_DN37111_c0_g1_i5
TRINITY_DN2945_c0_g1_i7	TRINITY_DN51950_c0_g1_i4	TRINITY_DN3711_c0_g1_i1
TRINITY_DN29461_c0_g1_i1	TRINITY_DN5199_c0_g1_i1	TRINITY_DN37127_c0_g2_i7
TRINITY_DN29484_c1_g1_i1	TRINITY_DN5199_c0_g1_i6	TRINITY_DN37141_c0_g1_i2
TRINITY_DN294_c0_g3_i1	TRINITY_DN519_c0_g2_i12	TRINITY_DN3715_c0_g2_i4
TRINITY_DN2950_c1_g2_i1	TRINITY_DN519_c1_g1_i3	TRINITY_DN3719_c0_g4_i1
TRINITY_DN29522_c0_g1_i9	TRINITY_DN51_c0_g1_i1	TRINITY_DN371_c1_g1_i1
