C0-IV (42634 genes)	C1-IV (41276 genes)
TRINITY_DN1908_c0_g1_i13	TRINITY_DN191205_c0_g2_i1
TRINITY_DN1908_c0_g1_i7	TRINITY_DN19121_c0_g1_i1
TRINITY_DN1908_c0_g1_i8	TRINITY_DN19121_c0_g2_i1
TRINITY_DN19090_c1_g1_i1	TRINITY_DN19121_c0_g4_i1
TRINITY_DN19095_c1_g2_i1	TRINITY_DN19128_c0_g2_i1
TRINITY_DN19097_c1_g1_i1	TRINITY_DN19130_c0_g1_i3
TRINITY_DN190998_c0_g3_i1	TRINITY_DN191314_c0_g1_i1
TRINITY_DN19100_c0_g1_i2	TRINITY_DN19132_c0_g2_i1
TRINITY_DN19102_c0_g1_i2	TRINITY_DN19132_c0_g2_i5
TRINITY_DN19108_c0_g1_i2	TRINITY_DN19132_c0_g3_i1
TRINITY_DN19113_c0_g1_i1	TRINITY_DN19132_c0_g3_i4
TRINITY_DN191164_c0_g1_i2	TRINITY_DN19132_c0_g4_i1
TRINITY_DN19116_c1_g1_i1	TRINITY_DN191345_c0_g1_i1
TRINITY_DN19117_c0_g1_i6	TRINITY_DN1913_c0_g1_i1
TRINITY_DN19117_c1_g1_i1	TRINITY_DN1913_c0_g1_i5
TRINITY_DN19120_c0_g1_i8	TRINITY_DN1913_c0_g5_i1
TRINITY_DN19124_c0_g1_i4	TRINITY_DN19142_c0_g1_i2
TRINITY_DN19124_c1_g2_i1	TRINITY_DN191484_c0_g1_i2
TRINITY_DN19124_c4_g1_i1	TRINITY_DN1914_c0_g1_i1
TRINITY_DN19127_c0_g1_i1	TRINITY_DN1914_c0_g1_i5
TRINITY_DN19127_c0_g1_i2	TRINITY_DN1914_c0_g2_i10
TRINITY_DN19129_c0_g1_i2	TRINITY_DN1914_c0_g2_i3
TRINITY_DN1912_c0_g1_i3	TRINITY_DN1914_c0_g2_i4
TRINITY_DN1912_c0_g1_i7	TRINITY_DN1914_c0_g2_i5
TRINITY_DN19130_c0_g1_i6	TRINITY_DN1914_c0_g3_i1
TRINITY_DN19132_c0_g1_i1	TRINITY_DN19150_c0_g1_i1
TRINITY_DN19132_c0_g2_i4	TRINITY_DN19152_c0_g1_i1
TRINITY_DN19132_c2_g1_i1	TRINITY_DN19152_c0_g5_i2
TRINITY_DN19135_c0_g1_i1	TRINITY_DN19152_c0_g6_i1
TRINITY_DN19139_c0_g1_i1	TRINITY_DN19156_c0_g2_i6
TRINITY_DN1913_c0_g1_i7	TRINITY_DN19156_c0_g2_i8
TRINITY_DN1913_c0_g1_i8	TRINITY_DN191593_c0_g1_i1
TRINITY_DN19142_c2_g1_i1	TRINITY_DN1915_c1_g1_i1
TRINITY_DN19144_c0_g1_i2	TRINITY_DN1915_c1_g1_i2
TRINITY_DN19147_c0_g2_i5	TRINITY_DN1915_c1_g1_i4
TRINITY_DN19147_c0_g2_i8	TRINITY_DN1915_c1_g3_i6
TRINITY_DN19148_c0_g1_i1	TRINITY_DN1915_c1_g4_i1
TRINITY_DN1914_c0_g2_i1	TRINITY_DN1915_c1_g5_i1
TRINITY_DN1914_c0_g2_i6	TRINITY_DN1915_c2_g1_i2
TRINITY_DN1914_c0_g2_i7	TRINITY_DN1915_c3_g1_i1
TRINITY_DN1914_c0_g3_i2	TRINITY_DN191613_c0_g1_i1
TRINITY_DN19150_c0_g2_i2	TRINITY_DN19164_c0_g1_i1
TRINITY_DN19154_c0_g1_i1	TRINITY_DN19165_c0_g1_i4
TRINITY_DN19155_c0_g1_i1	TRINITY_DN19166_c0_g1_i4
TRINITY_DN19156_c0_g2_i1	TRINITY_DN19168_c0_g1_i3
TRINITY_DN1915_c0_g1_i2	TRINITY_DN19168_c0_g2_i1
TRINITY_DN1915_c0_g2_i2	TRINITY_DN1916_c0_g1_i1
TRINITY_DN1915_c1_g1_i3	TRINITY_DN1916_c0_g1_i2
TRINITY_DN1915_c1_g1_i5	TRINITY_DN1916_c0_g1_i3
TRINITY_DN1915_c1_g1_i6	TRINITY_DN1916_c0_g4_i1
TRINITY_DN1915_c1_g2_i1	TRINITY_DN19175_c0_g1_i2
TRINITY_DN1915_c2_g1_i1	TRINITY_DN19175_c0_g2_i4
TRINITY_DN19161_c0_g1_i1	TRINITY_DN1917_c0_g2_i3
TRINITY_DN19161_c0_g1_i5	TRINITY_DN1917_c0_g2_i4
TRINITY_DN19161_c3_g1_i1	TRINITY_DN19182_c0_g1_i2
TRINITY_DN19162_c0_g1_i6	TRINITY_DN191851_c0_g1_i2
TRINITY_DN19165_c0_g1_i1	TRINITY_DN191851_c0_g2_i1
TRINITY_DN19166_c0_g1_i2	TRINITY_DN19187_c0_g1_i7
TRINITY_DN19166_c0_g2_i1	TRINITY_DN19188_c0_g1_i6
TRINITY_DN19171_c0_g3_i1	TRINITY_DN19189_c4_g2_i1
TRINITY_DN19171_c2_g1_i1	TRINITY_DN19189_c4_g3_i2
TRINITY_DN19171_c2_g1_i2	TRINITY_DN1918_c0_g2_i5
TRINITY_DN19176_c0_g1_i1	TRINITY_DN1918_c0_g3_i1
TRINITY_DN191798_c0_g1_i1	TRINITY_DN19192_c0_g2_i1
TRINITY_DN1917_c0_g1_i4	TRINITY_DN19193_c0_g1_i3
TRINITY_DN19181_c0_g2_i1	TRINITY_DN19194_c0_g1_i5
TRINITY_DN191820_c0_g1_i4	TRINITY_DN19194_c0_g2_i6
TRINITY_DN191820_c0_g2_i1	TRINITY_DN191972_c0_g1_i1
TRINITY_DN191845_c0_g1_i1	TRINITY_DN19198_c0_g1_i1
TRINITY_DN191851_c0_g2_i2	TRINITY_DN19198_c0_g2_i1
TRINITY_DN191868_c2_g1_i1	TRINITY_DN19198_c1_g2_i1
TRINITY_DN19186_c1_g1_i1	TRINITY_DN19199_c0_g1_i16
TRINITY_DN19188_c1_g1_i1	TRINITY_DN19199_c0_g1_i5
TRINITY_DN191893_c0_g1_i1	TRINITY_DN19199_c0_g1_i9
TRINITY_DN19189_c0_g1_i1	TRINITY_DN1919_c0_g1_i10
TRINITY_DN1918_c0_g2_i1	TRINITY_DN1919_c0_g1_i16
TRINITY_DN1918_c0_g2_i2	TRINITY_DN1919_c0_g1_i17
TRINITY_DN1918_c1_g1_i4	TRINITY_DN1919_c0_g1_i6
TRINITY_DN191914_c0_g1_i1	TRINITY_DN1919_c0_g1_i9
TRINITY_DN191918_c0_g3_i1	TRINITY_DN191_c0_g2_i1
TRINITY_DN191918_c0_g4_i1	TRINITY_DN19200_c0_g1_i2
TRINITY_DN19194_c0_g2_i7	TRINITY_DN19200_c0_g1_i3
TRINITY_DN19194_c0_g3_i1	TRINITY_DN19203_c0_g1_i2
TRINITY_DN191988_c0_g1_i1	TRINITY_DN19203_c0_g3_i1
TRINITY_DN19198_c9_g1_i1	TRINITY_DN19209_c0_g1_i1
TRINITY_DN19199_c0_g1_i14	TRINITY_DN19210_c1_g1_i2
TRINITY_DN19199_c0_g1_i3	TRINITY_DN19210_c1_g1_i4
TRINITY_DN1919_c0_g1_i3	TRINITY_DN19210_c1_g1_i7
TRINITY_DN1919_c1_g1_i1	TRINITY_DN19212_c0_g1_i1
TRINITY_DN191_c2_g1_i1	TRINITY_DN19213_c0_g1_i1
TRINITY_DN191_c3_g1_i1	TRINITY_DN19217_c0_g1_i1
TRINITY_DN19200_c0_g2_i1	TRINITY_DN1921_c0_g1_i1
TRINITY_DN19206_c0_g1_i2	TRINITY_DN192207_c0_g1_i1
TRINITY_DN19210_c0_g1_i1	TRINITY_DN19220_c1_g1_i1
TRINITY_DN19210_c0_g1_i3	TRINITY_DN19220_c1_g3_i1
TRINITY_DN19217_c1_g1_i1	TRINITY_DN192215_c0_g1_i1
TRINITY_DN19218_c0_g1_i1	TRINITY_DN19224_c0_g1_i2
TRINITY_DN19219_c0_g1_i1	TRINITY_DN19228_c0_g1_i1
TRINITY_DN19219_c0_g2_i1	TRINITY_DN1922_c0_g1_i2
TRINITY_DN1921_c0_g1_i2	TRINITY_DN1922_c0_g1_i4
TRINITY_DN19220_c1_g3_i3	TRINITY_DN1922_c1_g2_i1
TRINITY_DN192229_c0_g1_i1	TRINITY_DN19231_c0_g1_i4
TRINITY_DN19222_c1_g1_i1	TRINITY_DN19232_c0_g1_i1
TRINITY_DN19223_c0_g1_i1	TRINITY_DN19235_c0_g1_i4
TRINITY_DN192247_c0_g1_i2	TRINITY_DN19236_c0_g2_i2
TRINITY_DN19224_c0_g1_i5	TRINITY_DN192392_c0_g1_i1
TRINITY_DN19224_c0_g1_i7	TRINITY_DN19241_c0_g1_i8
TRINITY_DN19224_c0_g3_i1	TRINITY_DN19243_c0_g1_i5
TRINITY_DN192256_c0_g1_i1	TRINITY_DN192444_c0_g1_i1
TRINITY_DN192275_c0_g1_i1	TRINITY_DN19244_c1_g1_i1
TRINITY_DN1922_c0_g1_i3	TRINITY_DN19245_c0_g1_i1
TRINITY_DN19230_c1_g1_i1	TRINITY_DN19245_c0_g2_i1
TRINITY_DN192313_c1_g1_i1	TRINITY_DN19247_c0_g1_i3
TRINITY_DN19231_c0_g1_i2	TRINITY_DN19247_c1_g1_i1
TRINITY_DN19231_c0_g1_i3	TRINITY_DN192498_c0_g1_i2
TRINITY_DN19231_c0_g1_i6	TRINITY_DN19249_c0_g1_i1
TRINITY_DN19231_c0_g1_i9	TRINITY_DN192504_c0_g1_i1
TRINITY_DN192328_c0_g1_i1	TRINITY_DN19251_c0_g1_i1
TRINITY_DN19233_c0_g1_i4	TRINITY_DN19252_c1_g3_i1
TRINITY_DN19235_c0_g3_i1	TRINITY_DN19254_c0_g1_i1
TRINITY_DN19236_c0_g1_i3	TRINITY_DN19256_c0_g1_i1
TRINITY_DN19236_c0_g1_i4	TRINITY_DN192575_c0_g6_i1
TRINITY_DN192376_c0_g1_i1	TRINITY_DN1925_c0_g2_i2
TRINITY_DN192388_c1_g1_i1	TRINITY_DN1925_c0_g2_i3
TRINITY_DN192391_c0_g1_i2	TRINITY_DN1925_c1_g1_i3
TRINITY_DN192394_c0_g1_i1	TRINITY_DN1925_c1_g1_i7
TRINITY_DN1923_c0_g1_i2	TRINITY_DN1925_c1_g2_i2
TRINITY_DN1923_c1_g2_i1	TRINITY_DN19261_c0_g1_i1
TRINITY_DN192408_c0_g1_i1	TRINITY_DN19266_c0_g1_i2
TRINITY_DN19241_c0_g1_i1	TRINITY_DN19268_c0_g1_i1
TRINITY_DN19241_c0_g1_i3	TRINITY_DN19268_c0_g1_i2
TRINITY_DN19241_c0_g1_i5	TRINITY_DN19268_c0_g1_i5
TRINITY_DN19241_c0_g1_i9	TRINITY_DN19268_c0_g1_i7
TRINITY_DN192449_c0_g1_i1	TRINITY_DN19268_c0_g3_i7
TRINITY_DN19245_c0_g1_i11	TRINITY_DN192698_c0_g1_i1
TRINITY_DN1924_c0_g1_i1	TRINITY_DN1926_c0_g2_i3
TRINITY_DN1924_c0_g1_i2	TRINITY_DN1926_c0_g5_i2
TRINITY_DN1924_c0_g1_i5	TRINITY_DN1926_c0_g5_i3
TRINITY_DN19257_c0_g1_i9	TRINITY_DN19275_c0_g1_i1
TRINITY_DN19257_c0_g4_i4	TRINITY_DN19276_c0_g1_i6
TRINITY_DN1925_c0_g1_i3	TRINITY_DN19277_c0_g1_i7
TRINITY_DN1925_c0_g1_i6	TRINITY_DN192786_c1_g1_i1
TRINITY_DN1925_c0_g1_i9	TRINITY_DN1927_c0_g2_i1
TRINITY_DN1925_c1_g1_i2	TRINITY_DN1927_c0_g2_i11
TRINITY_DN1925_c1_g1_i6	TRINITY_DN1927_c0_g2_i3
TRINITY_DN1925_c1_g3_i1	TRINITY_DN192808_c1_g1_i1
TRINITY_DN1925_c5_g1_i1	TRINITY_DN192823_c0_g1_i1
TRINITY_DN192606_c0_g1_i1	TRINITY_DN19284_c2_g2_i1
TRINITY_DN192619_c0_g1_i1	TRINITY_DN192852_c0_g1_i1
TRINITY_DN192619_c0_g1_i3	TRINITY_DN19285_c0_g1_i8
TRINITY_DN192619_c0_g1_i4	TRINITY_DN19287_c0_g1_i2
TRINITY_DN192628_c0_g1_i2	TRINITY_DN19287_c0_g1_i6
TRINITY_DN19263_c0_g1_i5	TRINITY_DN1928_c0_g1_i9
TRINITY_DN19265_c0_g1_i3	TRINITY_DN1928_c2_g1_i2
TRINITY_DN19265_c0_g1_i7	TRINITY_DN19290_c0_g1_i1
TRINITY_DN19265_c0_g1_i9	TRINITY_DN19290_c0_g1_i2
TRINITY_DN19266_c0_g1_i1	TRINITY_DN19290_c0_g1_i3
TRINITY_DN19268_c0_g1_i10	TRINITY_DN19298_c0_g1_i2
TRINITY_DN19268_c0_g1_i4	TRINITY_DN19299_c0_g1_i2
TRINITY_DN19268_c0_g1_i6	TRINITY_DN19299_c2_g1_i1
TRINITY_DN19268_c0_g3_i4	TRINITY_DN1929_c0_g1_i1
TRINITY_DN1926_c0_g1_i3	TRINITY_DN19300_c0_g2_i1
TRINITY_DN1926_c0_g8_i1	TRINITY_DN193018_c0_g1_i2
TRINITY_DN1926_c1_g1_i1	TRINITY_DN19301_c0_g1_i2
TRINITY_DN19273_c0_g1_i2	TRINITY_DN193041_c1_g1_i2
TRINITY_DN192777_c0_g1_i1	TRINITY_DN19304_c0_g1_i1
TRINITY_DN19277_c0_g1_i1	TRINITY_DN19305_c0_g2_i3
TRINITY_DN19277_c0_g1_i5	TRINITY_DN19305_c0_g2_i4
TRINITY_DN19277_c1_g1_i1	TRINITY_DN19305_c0_g2_i5
TRINITY_DN192786_c2_g2_i2	TRINITY_DN19307_c0_g2_i3
TRINITY_DN19279_c0_g1_i2	TRINITY_DN19307_c0_g2_i5
TRINITY_DN1927_c0_g1_i1	TRINITY_DN19307_c0_g2_i6
TRINITY_DN1927_c0_g2_i10	TRINITY_DN19307_c0_g2_i8
TRINITY_DN1927_c0_g2_i5	TRINITY_DN19307_c1_g2_i1
TRINITY_DN1927_c0_g2_i8	TRINITY_DN1930_c0_g1_i1
TRINITY_DN1927_c0_g2_i9	TRINITY_DN1930_c10_g1_i3
TRINITY_DN192808_c0_g1_i3	TRINITY_DN1930_c11_g1_i1
TRINITY_DN19280_c0_g1_i3	TRINITY_DN1930_c1_g1_i2
TRINITY_DN19284_c0_g1_i1	TRINITY_DN1930_c1_g1_i3
TRINITY_DN19284_c0_g2_i1	TRINITY_DN1930_c1_g1_i6
TRINITY_DN19284_c1_g1_i1	TRINITY_DN1930_c1_g1_i8
TRINITY_DN19284_c2_g1_i2	TRINITY_DN1930_c5_g1_i1
TRINITY_DN19285_c0_g2_i1	TRINITY_DN193132_c0_g1_i1
TRINITY_DN19289_c0_g1_i1	TRINITY_DN19313_c0_g1_i1
TRINITY_DN19289_c0_g3_i1	TRINITY_DN193144_c1_g1_i2
TRINITY_DN1928_c0_g1_i2	TRINITY_DN19314_c0_g2_i1
TRINITY_DN1928_c0_g1_i6	TRINITY_DN193171_c0_g1_i1
TRINITY_DN1928_c0_g1_i8	TRINITY_DN193187_c0_g1_i1
TRINITY_DN192918_c0_g1_i1	TRINITY_DN1931_c0_g2_i1
TRINITY_DN192921_c0_g1_i1	TRINITY_DN1931_c0_g4_i1
TRINITY_DN19295_c0_g1_i1	TRINITY_DN1931_c0_g4_i2
TRINITY_DN19295_c0_g2_i2	TRINITY_DN19320_c2_g1_i1
TRINITY_DN19297_c0_g1_i2	TRINITY_DN19321_c0_g1_i5
TRINITY_DN192980_c0_g1_i1	TRINITY_DN19321_c0_g1_i8
TRINITY_DN19298_c0_g1_i3	TRINITY_DN193227_c0_g1_i1
TRINITY_DN193041_c0_g1_i2	TRINITY_DN19323_c0_g1_i4
TRINITY_DN193050_c0_g1_i6	TRINITY_DN193245_c0_g2_i1
TRINITY_DN19305_c0_g1_i1	TRINITY_DN193245_c0_g3_i2
TRINITY_DN19307_c0_g2_i4	TRINITY_DN19331_c0_g1_i1
TRINITY_DN19307_c1_g3_i1	TRINITY_DN193326_c0_g1_i1
TRINITY_DN19307_c2_g1_i1	TRINITY_DN193354_c0_g1_i2
TRINITY_DN1930_c1_g1_i1	TRINITY_DN19336_c4_g1_i1
TRINITY_DN1930_c1_g1_i12	TRINITY_DN19337_c0_g1_i6
TRINITY_DN1930_c1_g1_i14	TRINITY_DN1933_c0_g1_i2
TRINITY_DN1930_c1_g1_i7	TRINITY_DN1933_c0_g1_i3
TRINITY_DN1930_c1_g2_i1	TRINITY_DN19341_c0_g1_i2
TRINITY_DN1930_c1_g3_i2	TRINITY_DN193447_c0_g1_i1
TRINITY_DN1930_c27_g1_i1	TRINITY_DN19345_c1_g1_i5
TRINITY_DN1930_c2_g2_i1	TRINITY_DN193487_c0_g1_i1
TRINITY_DN1930_c4_g1_i1	TRINITY_DN19350_c0_g1_i1
TRINITY_DN1930_c4_g1_i7	TRINITY_DN19350_c0_g1_i2
TRINITY_DN1930_c4_g2_i1	TRINITY_DN19350_c0_g1_i8
TRINITY_DN1930_c5_g1_i2	TRINITY_DN19350_c0_g2_i1
TRINITY_DN19310_c0_g1_i2	TRINITY_DN19350_c0_g2_i2
TRINITY_DN19311_c0_g1_i1	TRINITY_DN19353_c0_g1_i1
TRINITY_DN193120_c0_g2_i1	TRINITY_DN193545_c0_g1_i1
TRINITY_DN193153_c2_g3_i1	TRINITY_DN19354_c0_g1_i1
TRINITY_DN193153_c2_g5_i1	TRINITY_DN19356_c2_g1_i1
TRINITY_DN193153_c2_g7_i1	TRINITY_DN19357_c0_g1_i1
TRINITY_DN19318_c0_g1_i1	TRINITY_DN193583_c0_g1_i2
TRINITY_DN19319_c0_g1_i1	TRINITY_DN19359_c0_g1_i2
TRINITY_DN1931_c3_g2_i1	TRINITY_DN19359_c0_g1_i4
TRINITY_DN193203_c0_g1_i1	TRINITY_DN19359_c0_g1_i5
TRINITY_DN19320_c0_g1_i1	TRINITY_DN1935_c0_g2_i1
TRINITY_DN19321_c0_g1_i4	TRINITY_DN193600_c0_g1_i1
TRINITY_DN19321_c0_g1_i9	TRINITY_DN19363_c0_g2_i1
TRINITY_DN19321_c2_g1_i2	TRINITY_DN193646_c0_g1_i1
TRINITY_DN19322_c0_g1_i4	TRINITY_DN19367_c0_g1_i1
TRINITY_DN19322_c0_g2_i1	TRINITY_DN19367_c0_g1_i3
TRINITY_DN193235_c0_g1_i1	TRINITY_DN193680_c1_g1_i1
TRINITY_DN19323_c0_g1_i1	TRINITY_DN1936_c0_g2_i3
TRINITY_DN19323_c0_g1_i2	TRINITY_DN19371_c0_g1_i1
TRINITY_DN19323_c1_g2_i1	TRINITY_DN19371_c0_g1_i17
TRINITY_DN193245_c2_g1_i1	TRINITY_DN19372_c0_g3_i1
TRINITY_DN19325_c0_g1_i1	TRINITY_DN193730_c0_g1_i1
TRINITY_DN19327_c0_g1_i2	TRINITY_DN19374_c1_g1_i2
TRINITY_DN1932_c0_g1_i3	TRINITY_DN19375_c0_g2_i2
TRINITY_DN19330_c0_g1_i1	TRINITY_DN193766_c0_g1_i1
TRINITY_DN19330_c0_g1_i2	TRINITY_DN19379_c0_g2_i1
TRINITY_DN19330_c0_g1_i3	TRINITY_DN1937_c0_g3_i6
TRINITY_DN19330_c1_g1_i1	TRINITY_DN1937_c1_g1_i1
TRINITY_DN19331_c0_g1_i3	TRINITY_DN19380_c0_g1_i5
TRINITY_DN193322_c1_g1_i2	TRINITY_DN19382_c0_g1_i1
TRINITY_DN19332_c0_g1_i1	TRINITY_DN193837_c0_g1_i1
TRINITY_DN193393_c0_g1_i1	TRINITY_DN19383_c0_g1_i1
TRINITY_DN19339_c0_g1_i1	TRINITY_DN19388_c0_g1_i1
TRINITY_DN1933_c0_g1_i8	TRINITY_DN19388_c0_g1_i5
TRINITY_DN19343_c0_g1_i1	TRINITY_DN19389_c0_g1_i4
TRINITY_DN193443_c0_g1_i1	TRINITY_DN1938_c0_g1_i5
TRINITY_DN193446_c0_g1_i1	TRINITY_DN193920_c0_g1_i1
TRINITY_DN19345_c0_g1_i1	TRINITY_DN193940_c0_g1_i1
TRINITY_DN19345_c0_g1_i2	TRINITY_DN193963_c1_g2_i1
TRINITY_DN19348_c0_g2_i1	TRINITY_DN193966_c0_g1_i1
TRINITY_DN1934_c0_g1_i17	TRINITY_DN19396_c2_g1_i1
TRINITY_DN1934_c1_g1_i2	TRINITY_DN19399_c1_g3_i2
TRINITY_DN1934_c6_g1_i1	TRINITY_DN19400_c0_g1_i2
TRINITY_DN19350_c0_g1_i4	TRINITY_DN194012_c0_g1_i1
TRINITY_DN19350_c0_g4_i1	TRINITY_DN194014_c0_g1_i1
TRINITY_DN19352_c0_g1_i2	TRINITY_DN19401_c0_g1_i1
TRINITY_DN193534_c0_g1_i1	TRINITY_DN194042_c0_g1_i1
TRINITY_DN19356_c0_g1_i3	TRINITY_DN194045_c0_g1_i1
TRINITY_DN19357_c0_g1_i5	TRINITY_DN194046_c0_g1_i1
TRINITY_DN193581_c0_g1_i1	TRINITY_DN19408_c0_g1_i1
TRINITY_DN193589_c0_g1_i1	TRINITY_DN19409_c0_g3_i1
TRINITY_DN19358_c0_g1_i11	TRINITY_DN1940_c0_g2_i2
TRINITY_DN19358_c0_g1_i12	TRINITY_DN194106_c0_g1_i1
TRINITY_DN19358_c0_g1_i6	TRINITY_DN194113_c0_g1_i1
TRINITY_DN193592_c0_g1_i1	TRINITY_DN19411_c1_g1_i1
TRINITY_DN193596_c0_g1_i1	TRINITY_DN194130_c0_g1_i2
TRINITY_DN19359_c0_g1_i8	TRINITY_DN19414_c0_g1_i1
TRINITY_DN19361_c0_g1_i2	TRINITY_DN19414_c0_g1_i5
TRINITY_DN19361_c0_g2_i1	TRINITY_DN19414_c1_g1_i2
TRINITY_DN193647_c0_g1_i1	TRINITY_DN19414_c1_g1_i6
TRINITY_DN193653_c0_g1_i1	TRINITY_DN194156_c0_g1_i3
TRINITY_DN19366_c0_g4_i5	TRINITY_DN19415_c0_g1_i2
TRINITY_DN19369_c0_g1_i1	TRINITY_DN19416_c0_g1_i1
TRINITY_DN19369_c0_g1_i3	TRINITY_DN19417_c0_g2_i3
TRINITY_DN19369_c1_g1_i1	TRINITY_DN194209_c0_g1_i1
TRINITY_DN1936_c0_g2_i2	TRINITY_DN19421_c0_g1_i1
TRINITY_DN19370_c0_g1_i1	TRINITY_DN19424_c0_g1_i1
TRINITY_DN193724_c1_g1_i1	TRINITY_DN194256_c0_g1_i1
TRINITY_DN19373_c0_g1_i1	TRINITY_DN1942_c1_g1_i1
TRINITY_DN19374_c1_g1_i3	TRINITY_DN1942_c1_g1_i3
TRINITY_DN19377_c0_g1_i1	TRINITY_DN19430_c0_g1_i1
TRINITY_DN193785_c2_g1_i1	TRINITY_DN19431_c0_g1_i3
TRINITY_DN193788_c0_g3_i1	TRINITY_DN19432_c0_g2_i12
TRINITY_DN19378_c0_g1_i1	TRINITY_DN194349_c0_g1_i1
TRINITY_DN19378_c0_g1_i6	TRINITY_DN19434_c0_g1_i1
TRINITY_DN19378_c1_g1_i1	TRINITY_DN194352_c0_g2_i1
TRINITY_DN1937_c0_g1_i2	TRINITY_DN194358_c0_g1_i1
TRINITY_DN1937_c0_g3_i5	TRINITY_DN19437_c0_g1_i11
TRINITY_DN1937_c0_g4_i1	TRINITY_DN19437_c0_g1_i2
TRINITY_DN1937_c4_g1_i1	TRINITY_DN19438_c0_g3_i3
TRINITY_DN19380_c0_g1_i2	TRINITY_DN1943_c0_g1_i3
TRINITY_DN19380_c0_g1_i6	TRINITY_DN1943_c0_g1_i4
TRINITY_DN19381_c0_g1_i1	TRINITY_DN1943_c6_g1_i1
TRINITY_DN19381_c1_g1_i1	TRINITY_DN1943_c7_g1_i1
TRINITY_DN193837_c0_g1_i3	TRINITY_DN19443_c0_g1_i1
TRINITY_DN193857_c0_g1_i1	TRINITY_DN19443_c1_g1_i6
TRINITY_DN1938_c0_g1_i1	TRINITY_DN19446_c1_g1_i1
TRINITY_DN1938_c1_g1_i1	TRINITY_DN19447_c0_g1_i3
TRINITY_DN1938_c3_g1_i2	TRINITY_DN19448_c0_g1_i2
TRINITY_DN193960_c0_g1_i1	TRINITY_DN19448_c0_g2_i1
TRINITY_DN19396_c0_g3_i1	TRINITY_DN1944_c0_g1_i6
TRINITY_DN193976_c0_g1_i1	TRINITY_DN1944_c0_g1_i9
TRINITY_DN1939_c0_g1_i2	TRINITY_DN1944_c18_g1_i1
TRINITY_DN194029_c0_g1_i1	TRINITY_DN1944_c1_g3_i9
TRINITY_DN19407_c0_g1_i4	TRINITY_DN1944_c2_g1_i5
TRINITY_DN19407_c0_g2_i1	TRINITY_DN1944_c3_g1_i6
TRINITY_DN19408_c0_g2_i1	TRINITY_DN1944_c3_g1_i8
TRINITY_DN19408_c0_g3_i1	TRINITY_DN1944_c4_g1_i1
TRINITY_DN19409_c0_g3_i3	TRINITY_DN19452_c0_g1_i1
TRINITY_DN19410_c0_g1_i1	TRINITY_DN19455_c0_g1_i4
TRINITY_DN194110_c0_g2_i1	TRINITY_DN19455_c0_g1_i5
TRINITY_DN19411_c0_g1_i1	TRINITY_DN19455_c0_g1_i8
TRINITY_DN19411_c0_g2_i1	TRINITY_DN19455_c0_g1_i9
TRINITY_DN194124_c0_g1_i1	TRINITY_DN19455_c0_g3_i1
TRINITY_DN19412_c0_g2_i1	TRINITY_DN19455_c1_g1_i1
TRINITY_DN19412_c2_g1_i1	TRINITY_DN19455_c4_g1_i1
TRINITY_DN1941_c0_g2_i2	TRINITY_DN19457_c0_g1_i1
TRINITY_DN194272_c0_g1_i1	TRINITY_DN19460_c0_g1_i7
TRINITY_DN19428_c0_g1_i5	TRINITY_DN19461_c0_g1_i1
TRINITY_DN19428_c0_g1_i7	TRINITY_DN19461_c0_g2_i1
TRINITY_DN1942_c1_g1_i5	TRINITY_DN19461_c0_g4_i1
TRINITY_DN19430_c0_g1_i4	TRINITY_DN19461_c1_g1_i1
TRINITY_DN19431_c0_g1_i2	TRINITY_DN19461_c2_g1_i1
TRINITY_DN19432_c0_g1_i1	TRINITY_DN194647_c0_g1_i2
TRINITY_DN19432_c0_g2_i5	TRINITY_DN19467_c0_g1_i1
TRINITY_DN19432_c0_g4_i1	TRINITY_DN1946_c0_g1_i2
TRINITY_DN194341_c0_g2_i1	TRINITY_DN1946_c0_g2_i1
TRINITY_DN194348_c0_g1_i1	TRINITY_DN1946_c1_g1_i4
TRINITY_DN194377_c0_g1_i1	TRINITY_DN1946_c1_g1_i8
TRINITY_DN19437_c0_g1_i4	TRINITY_DN1946_c1_g1_i9
TRINITY_DN19437_c0_g1_i6	TRINITY_DN1946_c1_g2_i11
TRINITY_DN1943_c0_g1_i5	TRINITY_DN1946_c1_g2_i12
TRINITY_DN194418_c0_g1_i1	TRINITY_DN1946_c1_g2_i3
TRINITY_DN19441_c0_g1_i2	TRINITY_DN1946_c2_g1_i1
TRINITY_DN19442_c0_g1_i2	TRINITY_DN1946_c2_g1_i2
TRINITY_DN19442_c0_g2_i1	TRINITY_DN19470_c0_g1_i2
TRINITY_DN194431_c0_g1_i1	TRINITY_DN19470_c0_g1_i3
TRINITY_DN19443_c0_g1_i2	TRINITY_DN19471_c0_g1_i1
TRINITY_DN19443_c1_g1_i1	TRINITY_DN19472_c0_g1_i1
TRINITY_DN194450_c0_g1_i1	TRINITY_DN19474_c0_g1_i1
TRINITY_DN194453_c0_g1_i1	TRINITY_DN19474_c0_g1_i4
TRINITY_DN19446_c0_g3_i1	TRINITY_DN19474_c0_g1_i5
TRINITY_DN1944_c1_g1_i3	TRINITY_DN19474_c0_g1_i6
TRINITY_DN1944_c1_g1_i5	TRINITY_DN19477_c0_g1_i1
TRINITY_DN1944_c1_g2_i1	TRINITY_DN194782_c0_g1_i1
TRINITY_DN1944_c2_g1_i6	TRINITY_DN194782_c0_g2_i1
