C0-V (29697 genes)	C1-V (28578 genes)
TRINITY_DN400_c1_g1_i2	TRINITY_DN42477_c0_g1_i2
TRINITY_DN400_c1_g1_i3	TRINITY_DN4247_c0_g1_i5
TRINITY_DN400_c1_g1_i4	TRINITY_DN4247_c0_g1_i9
TRINITY_DN400_c1_g3_i1	TRINITY_DN42484_c0_g1_i2
TRINITY_DN400_c1_g3_i2	TRINITY_DN42484_c0_g2_i1
TRINITY_DN4010_c0_g1_i12	TRINITY_DN42484_c0_g3_i3
TRINITY_DN4010_c0_g1_i15	TRINITY_DN42485_c0_g1_i4
TRINITY_DN4011_c0_g2_i1	TRINITY_DN42485_c1_g1_i1
TRINITY_DN40143_c0_g1_i5	TRINITY_DN4248_c0_g1_i1
TRINITY_DN40145_c0_g1_i1	TRINITY_DN4248_c1_g2_i2
TRINITY_DN40155_c0_g1_i11	TRINITY_DN4248_c1_g2_i5
TRINITY_DN40161_c0_g1_i2	TRINITY_DN4248_c3_g1_i2
TRINITY_DN40172_c1_g1_i2	TRINITY_DN4248_c6_g1_i1
TRINITY_DN4017_c0_g1_i4	TRINITY_DN42494_c0_g1_i2
TRINITY_DN40185_c0_g1_i1	TRINITY_DN4249_c0_g2_i19
TRINITY_DN4018_c0_g1_i4	TRINITY_DN4249_c0_g2_i3
TRINITY_DN4018_c0_g1_i7	TRINITY_DN4249_c0_g2_i6
TRINITY_DN4018_c0_g1_i8	TRINITY_DN4249_c0_g2_i7
TRINITY_DN40194_c0_g2_i1	TRINITY_DN424_c0_g1_i3
TRINITY_DN40197_c0_g2_i5	TRINITY_DN424_c1_g2_i1
TRINITY_DN40198_c0_g1_i2	TRINITY_DN42501_c0_g1_i11
TRINITY_DN4019_c0_g1_i3	TRINITY_DN42507_c1_g1_i1
TRINITY_DN401_c0_g1_i1	TRINITY_DN42507_c2_g1_i1
TRINITY_DN401_c0_g1_i15	TRINITY_DN42508_c0_g1_i2
TRINITY_DN401_c0_g1_i2	TRINITY_DN4250_c0_g1_i12
TRINITY_DN401_c0_g1_i4	TRINITY_DN4250_c0_g1_i3
TRINITY_DN401_c1_g1_i1	TRINITY_DN4250_c0_g1_i4
TRINITY_DN401_c2_g1_i10	TRINITY_DN4250_c0_g1_i6
TRINITY_DN401_c2_g1_i4	TRINITY_DN4251_c0_g1_i3
TRINITY_DN401_c3_g1_i3	TRINITY_DN4251_c0_g1_i5
TRINITY_DN401_c3_g2_i1	TRINITY_DN4253_c0_g1_i2
TRINITY_DN401_c4_g1_i2	TRINITY_DN4253_c0_g1_i5
TRINITY_DN40200_c0_g1_i2	TRINITY_DN42549_c0_g1_i2
TRINITY_DN40202_c1_g1_i4	TRINITY_DN4254_c1_g2_i1
TRINITY_DN4020_c0_g1_i3	TRINITY_DN42552_c0_g1_i4
TRINITY_DN4020_c0_g1_i5	TRINITY_DN42558_c0_g1_i1
TRINITY_DN4021_c0_g1_i2	TRINITY_DN4255_c0_g1_i5
TRINITY_DN4021_c0_g1_i3	TRINITY_DN42569_c0_g1_i7
TRINITY_DN4022_c1_g1_i1	TRINITY_DN4256_c0_g1_i1
TRINITY_DN4023_c0_g1_i1	TRINITY_DN4256_c0_g1_i2
TRINITY_DN4023_c0_g1_i3	TRINITY_DN42577_c0_g1_i5
TRINITY_DN4023_c0_g1_i4	TRINITY_DN42578_c0_g1_i1
TRINITY_DN4023_c0_g1_i5	TRINITY_DN4258_c0_g1_i2
TRINITY_DN40244_c0_g1_i5	TRINITY_DN4258_c0_g1_i3
TRINITY_DN4024_c0_g1_i1	TRINITY_DN4258_c1_g1_i1
TRINITY_DN4024_c0_g1_i12	TRINITY_DN42595_c0_g1_i11
TRINITY_DN4024_c0_g1_i4	TRINITY_DN42595_c0_g1_i7
TRINITY_DN4025_c0_g1_i2	TRINITY_DN42599_c0_g2_i1
TRINITY_DN4025_c0_g1_i5	TRINITY_DN425_c2_g1_i1
TRINITY_DN40265_c0_g2_i2	TRINITY_DN42604_c0_g2_i1
TRINITY_DN40268_c0_g1_i1	TRINITY_DN42604_c3_g1_i1
TRINITY_DN4026_c0_g1_i3	TRINITY_DN42619_c0_g1_i1
TRINITY_DN4026_c0_g1_i4	TRINITY_DN42619_c1_g1_i1
TRINITY_DN40271_c1_g1_i1	TRINITY_DN4261_c0_g2_i2
TRINITY_DN4027_c0_g1_i1	TRINITY_DN42621_c0_g1_i1
TRINITY_DN40292_c0_g2_i1	TRINITY_DN42631_c3_g1_i1
TRINITY_DN40298_c0_g1_i1	TRINITY_DN42634_c0_g1_i3
TRINITY_DN402_c0_g1_i1	TRINITY_DN4263_c0_g1_i2
TRINITY_DN402_c0_g1_i11	TRINITY_DN42644_c0_g1_i1
TRINITY_DN402_c0_g1_i12	TRINITY_DN4264_c1_g2_i1
TRINITY_DN402_c0_g1_i4	TRINITY_DN4265_c1_g1_i1
TRINITY_DN402_c0_g1_i5	TRINITY_DN4266_c0_g1_i10
TRINITY_DN402_c0_g2_i2	TRINITY_DN4266_c0_g1_i12
TRINITY_DN402_c1_g1_i14	TRINITY_DN4266_c0_g1_i5
TRINITY_DN402_c1_g1_i5	TRINITY_DN4266_c0_g1_i7
TRINITY_DN40313_c0_g1_i1	TRINITY_DN4266_c0_g1_i9
TRINITY_DN40319_c2_g1_i1	TRINITY_DN4266_c0_g3_i1
TRINITY_DN4031_c0_g1_i1	TRINITY_DN4266_c1_g1_i1
TRINITY_DN4031_c0_g1_i5	TRINITY_DN42672_c0_g2_i1
TRINITY_DN4031_c1_g1_i8	TRINITY_DN4267_c1_g2_i1
TRINITY_DN4031_c1_g2_i4	TRINITY_DN4267_c3_g1_i7
TRINITY_DN4031_c1_g2_i6	TRINITY_DN4267_c4_g1_i1
TRINITY_DN40327_c2_g1_i1	TRINITY_DN4268_c0_g2_i2
TRINITY_DN40329_c0_g3_i1	TRINITY_DN4268_c1_g1_i1
TRINITY_DN4032_c0_g1_i13	TRINITY_DN4268_c1_g3_i1
TRINITY_DN4032_c0_g1_i15	TRINITY_DN42694_c0_g1_i2
TRINITY_DN4032_c0_g1_i17	TRINITY_DN42694_c2_g1_i2
TRINITY_DN4032_c0_g1_i2	TRINITY_DN4269_c0_g1_i1
TRINITY_DN4032_c0_g1_i20	TRINITY_DN426_c0_g1_i6
TRINITY_DN4032_c0_g1_i22	TRINITY_DN426_c0_g2_i1
TRINITY_DN4032_c0_g1_i7	TRINITY_DN426_c0_g3_i1
TRINITY_DN4032_c1_g1_i2	TRINITY_DN4270_c0_g1_i1
TRINITY_DN4034_c0_g1_i1	TRINITY_DN4270_c0_g1_i4
TRINITY_DN4034_c0_g3_i2	TRINITY_DN4270_c3_g1_i1
TRINITY_DN4035_c0_g1_i4	TRINITY_DN4270_c4_g1_i1
TRINITY_DN40360_c0_g1_i1	TRINITY_DN4271_c0_g1_i1
TRINITY_DN4036_c0_g1_i10	TRINITY_DN42729_c0_g1_i4
TRINITY_DN4036_c0_g1_i5	TRINITY_DN4272_c0_g1_i6
TRINITY_DN4036_c0_g1_i6	TRINITY_DN4272_c0_g1_i7
TRINITY_DN4036_c0_g1_i7	TRINITY_DN4274_c0_g1_i7
TRINITY_DN4036_c0_g2_i3	TRINITY_DN42766_c0_g2_i1
TRINITY_DN4036_c1_g1_i5	TRINITY_DN4277_c0_g1_i1
TRINITY_DN4036_c4_g1_i1	TRINITY_DN4279_c0_g1_i1
TRINITY_DN4037_c0_g1_i3	TRINITY_DN427_c0_g2_i1
TRINITY_DN4037_c0_g1_i5	TRINITY_DN427_c0_g2_i3
TRINITY_DN4038_c0_g1_i7	TRINITY_DN42801_c0_g1_i1
TRINITY_DN4038_c1_g1_i2	TRINITY_DN42809_c0_g1_i1
TRINITY_DN4038_c4_g2_i2	TRINITY_DN42829_c1_g1_i1
TRINITY_DN4038_c4_g2_i3	TRINITY_DN4282_c0_g1_i1
TRINITY_DN4038_c4_g2_i4	TRINITY_DN4282_c1_g2_i1
TRINITY_DN4038_c4_g2_i5	TRINITY_DN4282_c1_g4_i1
TRINITY_DN40391_c0_g1_i1	TRINITY_DN42832_c0_g1_i3
TRINITY_DN40398_c0_g3_i1	TRINITY_DN42833_c0_g1_i3
TRINITY_DN4039_c6_g1_i1	TRINITY_DN42837_c0_g1_i7
TRINITY_DN4041_c0_g1_i1	TRINITY_DN4284_c2_g1_i1
TRINITY_DN4041_c0_g1_i2	TRINITY_DN42850_c0_g2_i6
TRINITY_DN4041_c0_g1_i3	TRINITY_DN42852_c0_g1_i1
TRINITY_DN40425_c0_g1_i1	TRINITY_DN4286_c0_g2_i1
TRINITY_DN4043_c0_g1_i10	TRINITY_DN4287_c0_g1_i1
TRINITY_DN4043_c0_g1_i2	TRINITY_DN4287_c0_g2_i4
TRINITY_DN4043_c0_g1_i6	TRINITY_DN4287_c0_g2_i6
TRINITY_DN4043_c0_g1_i7	TRINITY_DN42887_c0_g1_i11
TRINITY_DN4043_c0_g2_i1	TRINITY_DN42887_c0_g1_i8
TRINITY_DN4043_c0_g3_i1	TRINITY_DN4288_c0_g1_i7
TRINITY_DN40447_c0_g1_i16	TRINITY_DN4288_c1_g1_i1
TRINITY_DN4044_c1_g2_i3	TRINITY_DN42894_c0_g1_i4
TRINITY_DN40457_c0_g1_i1	TRINITY_DN4289_c0_g1_i23
TRINITY_DN4045_c0_g1_i2	TRINITY_DN4289_c0_g1_i9
TRINITY_DN4045_c0_g1_i6	TRINITY_DN4289_c0_g2_i1
TRINITY_DN4045_c0_g2_i1	TRINITY_DN42912_c1_g1_i1
TRINITY_DN40464_c0_g1_i2	TRINITY_DN42914_c1_g1_i1
TRINITY_DN4046_c0_g1_i2	TRINITY_DN4291_c0_g3_i1
TRINITY_DN4046_c0_g1_i3	TRINITY_DN42927_c0_g1_i3
TRINITY_DN4046_c1_g1_i1	TRINITY_DN42927_c1_g1_i1
TRINITY_DN4046_c1_g1_i2	TRINITY_DN42927_c2_g2_i2
TRINITY_DN4046_c1_g2_i5	TRINITY_DN4292_c0_g2_i1
TRINITY_DN4046_c1_g2_i6	TRINITY_DN42938_c0_g2_i1
TRINITY_DN40475_c0_g1_i3	TRINITY_DN4293_c0_g1_i6
TRINITY_DN40477_c0_g2_i1	TRINITY_DN42948_c0_g1_i1
TRINITY_DN4047_c0_g1_i2	TRINITY_DN4294_c0_g1_i1
TRINITY_DN4047_c0_g2_i3	TRINITY_DN4294_c0_g2_i1
TRINITY_DN40482_c0_g1_i10	TRINITY_DN4295_c0_g1_i3
TRINITY_DN4048_c0_g1_i1	TRINITY_DN42961_c0_g3_i1
TRINITY_DN4048_c0_g2_i1	TRINITY_DN42961_c0_g5_i1
TRINITY_DN40491_c0_g1_i1	TRINITY_DN42967_c0_g1_i1
TRINITY_DN40494_c0_g2_i1	TRINITY_DN4296_c1_g2_i2
TRINITY_DN40494_c2_g2_i1	TRINITY_DN4296_c1_g3_i1
TRINITY_DN4049_c0_g1_i10	TRINITY_DN42970_c0_g1_i4
TRINITY_DN4049_c0_g1_i12	TRINITY_DN42970_c0_g1_i8
TRINITY_DN4049_c0_g1_i13	TRINITY_DN42970_c0_g1_i9
TRINITY_DN4049_c0_g1_i14	TRINITY_DN42976_c1_g1_i1
TRINITY_DN4049_c0_g1_i3	TRINITY_DN4297_c0_g1_i1
TRINITY_DN4049_c0_g1_i8	TRINITY_DN4297_c0_g1_i9
TRINITY_DN4049_c2_g1_i1	TRINITY_DN42988_c0_g1_i1
TRINITY_DN404_c0_g1_i1	TRINITY_DN42992_c0_g1_i2
TRINITY_DN404_c0_g1_i2	TRINITY_DN42997_c0_g1_i10
TRINITY_DN404_c0_g1_i4	TRINITY_DN42997_c0_g1_i2
TRINITY_DN404_c0_g1_i5	TRINITY_DN42997_c0_g1_i8
TRINITY_DN404_c1_g1_i1	TRINITY_DN429_c0_g1_i1
TRINITY_DN40504_c0_g1_i7	TRINITY_DN42_c0_g2_i1
TRINITY_DN40508_c0_g1_i1	TRINITY_DN42_c0_g3_i3
TRINITY_DN4050_c0_g1_i2	TRINITY_DN42_c1_g1_i2
TRINITY_DN4051_c0_g2_i1	TRINITY_DN42_c2_g1_i10
TRINITY_DN4051_c0_g2_i5	TRINITY_DN42_c2_g1_i11
TRINITY_DN40524_c2_g1_i1	TRINITY_DN42_c2_g1_i14
TRINITY_DN4054_c0_g1_i1	TRINITY_DN42_c2_g1_i16
TRINITY_DN4054_c0_g1_i7	TRINITY_DN42_c2_g1_i21
TRINITY_DN4054_c1_g1_i2	TRINITY_DN43006_c0_g1_i4
TRINITY_DN40555_c2_g1_i1	TRINITY_DN4300_c0_g1_i1
TRINITY_DN40566_c1_g1_i1	TRINITY_DN43011_c0_g1_i2
TRINITY_DN4056_c0_g1_i2	TRINITY_DN43014_c0_g2_i4
TRINITY_DN4056_c0_g1_i3	TRINITY_DN4301_c0_g1_i6
TRINITY_DN40572_c0_g1_i4	TRINITY_DN43028_c0_g3_i1
TRINITY_DN40581_c0_g1_i5	TRINITY_DN43033_c0_g1_i1
TRINITY_DN40593_c0_g1_i5	TRINITY_DN4303_c0_g1_i2
TRINITY_DN4059_c0_g1_i8	TRINITY_DN4303_c0_g1_i4
TRINITY_DN4059_c1_g1_i2	TRINITY_DN4303_c0_g3_i2
TRINITY_DN4059_c1_g1_i6	TRINITY_DN4303_c1_g1_i4
TRINITY_DN4059_c1_g2_i1	TRINITY_DN4303_c1_g1_i9
TRINITY_DN405_c0_g1_i10	TRINITY_DN4303_c1_g2_i5
TRINITY_DN405_c0_g1_i5	TRINITY_DN4303_c1_g3_i2
TRINITY_DN405_c3_g1_i1	TRINITY_DN4303_c2_g1_i2
TRINITY_DN405_c3_g1_i15	TRINITY_DN43041_c0_g1_i1
TRINITY_DN4060_c0_g1_i4	TRINITY_DN43056_c3_g1_i1
TRINITY_DN4060_c0_g1_i6	TRINITY_DN43057_c0_g1_i1
TRINITY_DN4061_c1_g1_i1	TRINITY_DN43058_c0_g1_i3
TRINITY_DN40626_c0_g1_i2	TRINITY_DN43059_c0_g1_i1
TRINITY_DN4062_c0_g1_i1	TRINITY_DN4305_c0_g1_i2
TRINITY_DN4062_c0_g1_i5	TRINITY_DN4306_c1_g1_i1
TRINITY_DN40636_c0_g1_i2	TRINITY_DN43081_c0_g1_i1
TRINITY_DN40653_c1_g1_i1	TRINITY_DN43093_c0_g1_i2
TRINITY_DN4065_c0_g5_i1	TRINITY_DN4309_c1_g1_i1
TRINITY_DN40666_c0_g3_i2	TRINITY_DN4309_c2_g1_i1
TRINITY_DN40674_c0_g1_i15	TRINITY_DN4309_c3_g1_i1
TRINITY_DN40677_c0_g1_i1	TRINITY_DN4309_c4_g1_i1
TRINITY_DN40678_c0_g1_i3	TRINITY_DN430_c0_g2_i1
TRINITY_DN40688_c0_g1_i2	TRINITY_DN43104_c0_g1_i1
TRINITY_DN40689_c0_g2_i1	TRINITY_DN4310_c0_g1_i1
TRINITY_DN406_c0_g1_i11	TRINITY_DN4310_c0_g1_i11
TRINITY_DN406_c0_g1_i16	TRINITY_DN4310_c0_g1_i12
TRINITY_DN406_c0_g1_i4	TRINITY_DN4310_c0_g1_i7
TRINITY_DN406_c0_g1_i9	TRINITY_DN43115_c0_g1_i3
TRINITY_DN4070_c0_g1_i2	TRINITY_DN43121_c0_g1_i1
TRINITY_DN4071_c0_g1_i10	TRINITY_DN43123_c0_g2_i2
TRINITY_DN4071_c0_g1_i3	TRINITY_DN4312_c0_g1_i8
TRINITY_DN4071_c0_g1_i8	TRINITY_DN4313_c0_g1_i4
TRINITY_DN4073_c1_g1_i8	TRINITY_DN43145_c0_g1_i1
TRINITY_DN4073_c1_g1_i9	TRINITY_DN4314_c0_g1_i9
TRINITY_DN4074_c0_g1_i10	TRINITY_DN4314_c0_g2_i1
TRINITY_DN4074_c0_g2_i1	TRINITY_DN4314_c1_g1_i1
TRINITY_DN4074_c1_g1_i1	TRINITY_DN4314_c1_g1_i4
TRINITY_DN4074_c1_g1_i2	TRINITY_DN4314_c1_g2_i2
TRINITY_DN4074_c1_g1_i3	TRINITY_DN4315_c0_g1_i11
TRINITY_DN4074_c1_g1_i6	TRINITY_DN4315_c0_g1_i12
TRINITY_DN4075_c0_g2_i2	TRINITY_DN4315_c0_g1_i6
TRINITY_DN4075_c1_g1_i2	TRINITY_DN4315_c0_g3_i1
TRINITY_DN4075_c1_g1_i3	TRINITY_DN4315_c0_g3_i5
TRINITY_DN4075_c1_g2_i1	TRINITY_DN4316_c0_g3_i1
TRINITY_DN40766_c0_g2_i1	TRINITY_DN4317_c1_g1_i1
TRINITY_DN4076_c0_g1_i2	TRINITY_DN4317_c1_g1_i4
TRINITY_DN4076_c0_g2_i3	TRINITY_DN4317_c2_g1_i3
TRINITY_DN4076_c0_g2_i4	TRINITY_DN4317_c3_g1_i4
TRINITY_DN4076_c0_g5_i1	TRINITY_DN43180_c2_g1_i1
TRINITY_DN4076_c0_g6_i1	TRINITY_DN43184_c0_g1_i3
TRINITY_DN4076_c2_g1_i1	TRINITY_DN43184_c0_g1_i4
TRINITY_DN4076_c6_g1_i5	TRINITY_DN43184_c0_g3_i1
TRINITY_DN40776_c0_g1_i1	TRINITY_DN43198_c0_g1_i1
TRINITY_DN40786_c0_g1_i1	TRINITY_DN431_c0_g1_i1
TRINITY_DN4078_c0_g1_i4	TRINITY_DN431_c0_g1_i12
TRINITY_DN40794_c0_g4_i1	TRINITY_DN431_c0_g1_i6
TRINITY_DN407_c0_g1_i1	TRINITY_DN431_c0_g2_i1
TRINITY_DN407_c0_g1_i11	TRINITY_DN43203_c2_g1_i1
TRINITY_DN407_c0_g1_i4	TRINITY_DN43212_c0_g1_i3
TRINITY_DN407_c0_g1_i8	TRINITY_DN43214_c0_g1_i1
TRINITY_DN407_c0_g1_i9	TRINITY_DN4321_c1_g1_i2
TRINITY_DN40814_c0_g1_i4	TRINITY_DN43220_c0_g2_i1
TRINITY_DN4081_c0_g1_i1	TRINITY_DN43220_c0_g3_i2
TRINITY_DN4082_c1_g1_i4	TRINITY_DN4322_c0_g2_i2
TRINITY_DN4082_c1_g3_i1	TRINITY_DN43234_c0_g1_i4
TRINITY_DN4082_c1_g4_i1	TRINITY_DN43237_c1_g1_i1
TRINITY_DN4082_c2_g2_i1	TRINITY_DN43238_c0_g1_i1
TRINITY_DN40849_c0_g1_i1	TRINITY_DN43247_c1_g1_i1
TRINITY_DN4084_c0_g1_i1	TRINITY_DN43248_c0_g1_i4
TRINITY_DN4085_c0_g1_i3	TRINITY_DN4324_c1_g1_i2
TRINITY_DN4085_c0_g1_i6	TRINITY_DN4324_c1_g1_i4
TRINITY_DN4085_c0_g1_i8	TRINITY_DN4324_c1_g2_i1
TRINITY_DN4085_c0_g2_i1	TRINITY_DN4324_c1_g3_i1
TRINITY_DN4086_c0_g1_i3	TRINITY_DN4324_c1_g4_i1
TRINITY_DN4086_c0_g3_i1	TRINITY_DN4324_c2_g1_i1
TRINITY_DN4086_c1_g1_i1	TRINITY_DN4325_c0_g1_i3
TRINITY_DN4087_c0_g2_i3	TRINITY_DN4325_c1_g2_i1
TRINITY_DN40899_c0_g1_i1	TRINITY_DN43260_c0_g1_i1
TRINITY_DN4089_c0_g1_i1	TRINITY_DN43263_c1_g1_i1
TRINITY_DN408_c0_g2_i1	TRINITY_DN4326_c0_g1_i1
TRINITY_DN408_c0_g2_i2	TRINITY_DN4326_c0_g1_i2
TRINITY_DN408_c0_g2_i5	TRINITY_DN43270_c0_g2_i1
TRINITY_DN408_c0_g2_i7	TRINITY_DN4327_c0_g2_i4
TRINITY_DN4090_c0_g2_i1	TRINITY_DN43280_c0_g1_i1
TRINITY_DN40911_c0_g1_i2	TRINITY_DN43282_c0_g1_i2
TRINITY_DN40924_c0_g1_i4	TRINITY_DN43282_c0_g1_i3
TRINITY_DN40924_c0_g1_i5	TRINITY_DN4328_c0_g1_i11
TRINITY_DN40927_c0_g1_i1	TRINITY_DN4328_c0_g1_i9
TRINITY_DN40927_c0_g3_i3	TRINITY_DN43297_c0_g1_i11
TRINITY_DN40927_c2_g1_i1	TRINITY_DN432_c0_g3_i1
TRINITY_DN4092_c0_g1_i1	TRINITY_DN432_c1_g1_i3
TRINITY_DN4092_c0_g1_i11	TRINITY_DN432_c1_g1_i4
TRINITY_DN4092_c0_g1_i2	TRINITY_DN432_c2_g1_i6
TRINITY_DN4092_c0_g1_i4	TRINITY_DN432_c2_g2_i6
TRINITY_DN4092_c0_g1_i6	TRINITY_DN432_c3_g1_i1
TRINITY_DN4092_c0_g1_i7	TRINITY_DN43302_c0_g1_i2
TRINITY_DN4092_c0_g1_i8	TRINITY_DN43305_c0_g1_i3
TRINITY_DN4092_c0_g3_i2	TRINITY_DN4330_c0_g1_i6
TRINITY_DN4092_c0_g3_i4	TRINITY_DN4330_c0_g1_i8
TRINITY_DN40934_c0_g1_i1	TRINITY_DN4331_c0_g1_i11
TRINITY_DN4093_c0_g1_i16	TRINITY_DN4331_c0_g1_i14
TRINITY_DN4093_c0_g1_i5	TRINITY_DN4331_c0_g1_i16
TRINITY_DN4093_c0_g1_i8	TRINITY_DN4331_c0_g1_i9
TRINITY_DN40946_c0_g4_i3	TRINITY_DN4331_c0_g3_i1
TRINITY_DN40946_c0_g5_i1	TRINITY_DN43322_c0_g1_i1
TRINITY_DN4094_c0_g3_i2	TRINITY_DN4332_c0_g1_i1
TRINITY_DN40955_c0_g1_i2	TRINITY_DN4332_c0_g1_i2
TRINITY_DN4095_c0_g1_i1	TRINITY_DN4332_c0_g1_i5
TRINITY_DN40974_c0_g1_i1	TRINITY_DN43330_c0_g2_i3
TRINITY_DN40975_c0_g1_i3	TRINITY_DN43330_c1_g1_i1
TRINITY_DN4097_c0_g1_i1	TRINITY_DN43336_c0_g1_i1
TRINITY_DN4098_c2_g1_i2	TRINITY_DN4333_c0_g2_i3
TRINITY_DN4099_c0_g1_i1	TRINITY_DN43343_c0_g1_i2
TRINITY_DN4099_c0_g1_i3	TRINITY_DN4334_c0_g1_i3
TRINITY_DN4099_c0_g1_i4	TRINITY_DN43356_c0_g1_i1
TRINITY_DN409_c0_g1_i1	TRINITY_DN4335_c0_g1_i2
TRINITY_DN409_c11_g1_i1	TRINITY_DN43365_c0_g1_i1
TRINITY_DN409_c11_g3_i1	TRINITY_DN43367_c0_g1_i2
TRINITY_DN409_c1_g1_i3	TRINITY_DN43369_c0_g1_i1
TRINITY_DN40_c0_g1_i1	TRINITY_DN4336_c1_g2_i2
TRINITY_DN40_c16_g1_i1	TRINITY_DN4336_c1_g2_i4
TRINITY_DN40_c4_g2_i1	TRINITY_DN43371_c0_g2_i1
TRINITY_DN40_c9_g1_i4	TRINITY_DN43376_c0_g1_i1
TRINITY_DN40_c9_g2_i1	TRINITY_DN43381_c1_g1_i2
TRINITY_DN41029_c0_g2_i1	TRINITY_DN43387_c0_g1_i3
TRINITY_DN4102_c0_g1_i1	TRINITY_DN43387_c0_g1_i6
TRINITY_DN4103_c0_g1_i1	TRINITY_DN43387_c0_g1_i7
TRINITY_DN4103_c0_g1_i2	TRINITY_DN4338_c0_g1_i1
TRINITY_DN41042_c0_g2_i1	TRINITY_DN4338_c0_g1_i4
TRINITY_DN41047_c1_g1_i1	TRINITY_DN4338_c0_g1_i8
TRINITY_DN4104_c0_g1_i4	TRINITY_DN43396_c0_g1_i3
TRINITY_DN41066_c0_g1_i5	TRINITY_DN43399_c0_g1_i2
TRINITY_DN41067_c0_g2_i1	TRINITY_DN433_c1_g1_i1
TRINITY_DN4106_c0_g1_i3	TRINITY_DN43401_c0_g1_i1
TRINITY_DN4109_c0_g1_i19	TRINITY_DN43406_c0_g1_i1
TRINITY_DN4109_c0_g1_i26	TRINITY_DN43409_c0_g1_i1
TRINITY_DN4109_c0_g1_i3	TRINITY_DN4340_c0_g2_i4
TRINITY_DN4109_c0_g1_i6	TRINITY_DN4340_c0_g2_i6
TRINITY_DN410_c0_g1_i5	TRINITY_DN43412_c0_g1_i11
TRINITY_DN410_c0_g2_i3	TRINITY_DN43412_c0_g1_i14
TRINITY_DN410_c0_g2_i5	TRINITY_DN43412_c0_g1_i6
TRINITY_DN410_c0_g3_i1	TRINITY_DN4342_c0_g1_i1
TRINITY_DN410_c0_g3_i3	TRINITY_DN4342_c0_g1_i6
TRINITY_DN410_c2_g1_i2	TRINITY_DN43435_c0_g1_i7
TRINITY_DN410_c2_g1_i4	TRINITY_DN43446_c0_g1_i4
TRINITY_DN4110_c0_g1_i1	TRINITY_DN4344_c0_g1_i1
TRINITY_DN4110_c0_g1_i11	TRINITY_DN4344_c0_g1_i7
TRINITY_DN4110_c0_g4_i1	TRINITY_DN4344_c0_g1_i9
TRINITY_DN4110_c0_g7_i1	TRINITY_DN4344_c0_g2_i2
TRINITY_DN4110_c2_g1_i7	TRINITY_DN4344_c1_g1_i2
TRINITY_DN4111_c0_g2_i3	TRINITY_DN4344_c2_g1_i1
TRINITY_DN41148_c0_g1_i1	TRINITY_DN43452_c0_g1_i1
TRINITY_DN4114_c0_g1_i3	TRINITY_DN4345_c0_g1_i1
TRINITY_DN4114_c0_g1_i4	TRINITY_DN43462_c0_g1_i1
TRINITY_DN4114_c0_g1_i7	TRINITY_DN43467_c1_g1_i1
TRINITY_DN4114_c1_g1_i21	TRINITY_DN43474_c0_g1_i2
TRINITY_DN4114_c1_g1_i30	TRINITY_DN43474_c0_g2_i1
TRINITY_DN4114_c1_g1_i46	TRINITY_DN43476_c0_g2_i1
TRINITY_DN4114_c1_g1_i7	TRINITY_DN4347_c0_g1_i11
TRINITY_DN4114_c1_g3_i3	TRINITY_DN4347_c0_g2_i1
TRINITY_DN4114_c1_g4_i1	TRINITY_DN4347_c3_g1_i2
TRINITY_DN4116_c0_g1_i4	TRINITY_DN4348_c0_g2_i1
TRINITY_DN4116_c1_g1_i1	TRINITY_DN4348_c2_g1_i1
TRINITY_DN4118_c1_g1_i1	TRINITY_DN43493_c0_g1_i3
TRINITY_DN411_c0_g1_i10	TRINITY_DN43496_c0_g1_i3
TRINITY_DN411_c0_g1_i12	TRINITY_DN4349_c1_g1_i1
TRINITY_DN411_c0_g1_i2	TRINITY_DN434_c0_g1_i2
TRINITY_DN411_c1_g1_i1	TRINITY_DN43505_c2_g1_i2
TRINITY_DN411_c1_g2_i1	TRINITY_DN43508_c0_g5_i1
TRINITY_DN411_c3_g1_i12	TRINITY_DN43516_c4_g1_i1
TRINITY_DN4120_c0_g1_i8	TRINITY_DN4352_c0_g1_i2
TRINITY_DN4120_c0_g2_i1	TRINITY_DN4353_c0_g1_i1
TRINITY_DN41225_c0_g1_i1	TRINITY_DN4353_c0_g2_i1
TRINITY_DN41225_c0_g1_i10	TRINITY_DN4353_c0_g5_i1
TRINITY_DN41225_c0_g1_i2	TRINITY_DN43545_c0_g1_i8
TRINITY_DN41225_c0_g1_i4	TRINITY_DN4354_c0_g2_i1
TRINITY_DN41225_c0_g1_i9	TRINITY_DN4354_c0_g2_i6
TRINITY_DN41229_c0_g1_i1	TRINITY_DN43552_c0_g1_i2
TRINITY_DN41233_c0_g1_i1	TRINITY_DN43561_c0_g2_i1
TRINITY_DN41241_c0_g1_i3	TRINITY_DN4356_c0_g1_i2
TRINITY_DN4124_c0_g1_i10	TRINITY_DN4356_c1_g1_i1
TRINITY_DN4124_c0_g1_i11	TRINITY_DN43572_c0_g1_i1
TRINITY_DN4124_c0_g1_i8	TRINITY_DN43574_c1_g1_i4
TRINITY_DN4124_c0_g1_i9	TRINITY_DN43592_c0_g1_i2
TRINITY_DN41259_c0_g1_i1	TRINITY_DN43592_c0_g1_i9
TRINITY_DN4125_c0_g1_i3	TRINITY_DN43592_c1_g1_i1
TRINITY_DN4125_c0_g1_i4	TRINITY_DN4359_c8_g2_i1
