C0-V (29697 genes)	C1-V (28578 genes)
TRINITY_DN100961_c0_g1_i1	TRINITY_DN10114_c0_g1_i1
TRINITY_DN10098_c0_g1_i1	TRINITY_DN10114_c0_g1_i3
TRINITY_DN100991_c0_g1_i5	TRINITY_DN10114_c0_g1_i4
TRINITY_DN1009_c0_g1_i1	TRINITY_DN10114_c0_g1_i5
TRINITY_DN1009_c0_g1_i16	TRINITY_DN10116_c0_g1_i1
TRINITY_DN1009_c0_g1_i9	TRINITY_DN10116_c2_g1_i4
TRINITY_DN100_c0_g1_i5	TRINITY_DN10117_c0_g1_i1
TRINITY_DN100_c0_g1_i6	TRINITY_DN10119_c0_g7_i1
TRINITY_DN100_c0_g2_i1	TRINITY_DN1011_c0_g1_i4
TRINITY_DN10104_c0_g1_i1	TRINITY_DN1011_c0_g2_i2
TRINITY_DN10104_c0_g4_i1	TRINITY_DN101208_c0_g1_i2
TRINITY_DN10105_c0_g1_i10	TRINITY_DN10120_c0_g2_i1
TRINITY_DN10105_c0_g1_i12	TRINITY_DN10122_c0_g1_i1
TRINITY_DN10105_c0_g1_i4	TRINITY_DN10122_c0_g1_i4
TRINITY_DN10105_c0_g1_i7	TRINITY_DN10122_c2_g1_i2
TRINITY_DN10105_c0_g1_i8	TRINITY_DN10123_c0_g1_i4
TRINITY_DN101074_c0_g1_i3	TRINITY_DN101246_c0_g1_i1
TRINITY_DN101077_c0_g1_i1	TRINITY_DN10129_c0_g2_i6
TRINITY_DN10109_c1_g1_i1	TRINITY_DN10130_c0_g1_i2
TRINITY_DN10109_c1_g5_i2	TRINITY_DN101332_c0_g1_i2
TRINITY_DN1010_c0_g1_i8	TRINITY_DN10135_c0_g3_i1
TRINITY_DN1010_c0_g2_i1	TRINITY_DN101364_c1_g1_i1
TRINITY_DN1010_c16_g1_i1	TRINITY_DN101378_c0_g1_i1
TRINITY_DN1010_c2_g1_i1	TRINITY_DN10137_c0_g1_i1
TRINITY_DN1010_c5_g2_i1	TRINITY_DN10137_c0_g1_i6
TRINITY_DN10112_c0_g1_i5	TRINITY_DN10138_c0_g2_i2
TRINITY_DN101143_c0_g1_i1	TRINITY_DN10139_c0_g1_i1
TRINITY_DN10114_c0_g1_i2	TRINITY_DN1013_c0_g2_i10
TRINITY_DN101167_c0_g1_i1	TRINITY_DN1013_c0_g2_i6
TRINITY_DN10118_c0_g1_i3	TRINITY_DN1013_c0_g2_i9
TRINITY_DN10118_c0_g1_i7	TRINITY_DN101408_c0_g1_i5
TRINITY_DN10119_c0_g2_i1	TRINITY_DN10142_c0_g1_i1
TRINITY_DN10119_c0_g7_i2	TRINITY_DN101459_c0_g1_i1
TRINITY_DN10119_c1_g2_i1	TRINITY_DN10145_c0_g2_i1
TRINITY_DN10119_c1_g2_i2	TRINITY_DN10146_c0_g2_i2
TRINITY_DN10119_c1_g2_i4	TRINITY_DN10146_c0_g2_i3
TRINITY_DN1011_c0_g1_i8	TRINITY_DN10146_c0_g2_i6
TRINITY_DN1011_c0_g2_i3	TRINITY_DN10147_c0_g1_i5
TRINITY_DN10120_c0_g1_i1	TRINITY_DN10147_c0_g1_i6
TRINITY_DN10120_c0_g1_i4	TRINITY_DN10149_c0_g2_i1
TRINITY_DN10120_c0_g1_i5	TRINITY_DN10149_c0_g2_i3
TRINITY_DN10120_c1_g1_i1	TRINITY_DN10149_c0_g3_i1
TRINITY_DN10122_c0_g1_i5	TRINITY_DN10150_c0_g1_i2
TRINITY_DN10123_c0_g1_i2	TRINITY_DN10151_c0_g1_i2
TRINITY_DN101246_c0_g2_i1	TRINITY_DN10151_c0_g1_i3
TRINITY_DN10124_c0_g1_i1	TRINITY_DN10151_c0_g2_i2
TRINITY_DN101261_c4_g1_i1	TRINITY_DN101537_c0_g1_i1
TRINITY_DN10129_c0_g3_i1	TRINITY_DN10153_c0_g1_i7
TRINITY_DN1012_c0_g2_i2	TRINITY_DN10158_c0_g1_i1
TRINITY_DN101303_c3_g1_i1	TRINITY_DN10159_c0_g2_i2
TRINITY_DN10131_c0_g2_i3	TRINITY_DN1015_c0_g1_i2
TRINITY_DN10134_c0_g1_i1	TRINITY_DN1015_c1_g2_i4
TRINITY_DN10134_c0_g1_i10	TRINITY_DN10160_c0_g1_i3
TRINITY_DN10134_c0_g1_i14	TRINITY_DN10160_c0_g1_i7
TRINITY_DN10134_c0_g1_i7	TRINITY_DN10160_c1_g1_i1
TRINITY_DN101370_c0_g1_i1	TRINITY_DN10161_c0_g2_i6
TRINITY_DN10138_c0_g1_i1	TRINITY_DN10163_c0_g1_i1
TRINITY_DN1013_c0_g2_i1	TRINITY_DN10163_c2_g1_i1
TRINITY_DN1013_c0_g2_i3	TRINITY_DN101647_c0_g1_i2
TRINITY_DN1013_c0_g3_i2	TRINITY_DN10164_c0_g1_i1
TRINITY_DN1013_c0_g3_i4	TRINITY_DN10166_c0_g3_i1
TRINITY_DN1013_c0_g3_i7	TRINITY_DN10167_c0_g1_i11
TRINITY_DN1013_c0_g3_i8	TRINITY_DN10167_c0_g1_i14
TRINITY_DN1013_c0_g3_i9	TRINITY_DN10167_c0_g1_i3
TRINITY_DN101402_c0_g1_i1	TRINITY_DN1016_c0_g1_i2
TRINITY_DN101408_c0_g1_i1	TRINITY_DN1016_c0_g1_i9
TRINITY_DN10142_c0_g1_i2	TRINITY_DN101706_c0_g1_i1
TRINITY_DN101438_c0_g1_i1	TRINITY_DN10172_c0_g1_i8
TRINITY_DN10144_c0_g1_i1	TRINITY_DN10173_c2_g3_i1
TRINITY_DN101459_c0_g2_i2	TRINITY_DN10174_c0_g1_i2
TRINITY_DN101459_c0_g4_i2	TRINITY_DN10174_c0_g1_i5
TRINITY_DN10145_c0_g1_i1	TRINITY_DN101757_c0_g1_i1
TRINITY_DN10146_c0_g2_i4	TRINITY_DN10175_c1_g2_i1
