transcript_id TPM FPKM fold.change log2.FC
TRINITY_DN126167_c0_g1_i1 0.03 0.03 0.0198059665803983 -5.65792107971019
TRINITY_DN12628_c0_g1_i1 0.03 0.02 0.0198059665803983 -5.65792107971019
TRINITY_DN12666_c0_g1_i2 0.03 0.03 0.0198059665803983 -5.65792107971019
TRINITY_DN12698_c0_g1_i4 0.01 0.01 0.00660198886013278 -7.24288358043135
TRINITY_DN127158_c0_g1_i6 0.02 0.02 0.0132039777202656 -6.24288358043135
TRINITY_DN127597_c0_g1_i1 0.03 0.03 0.0198059665803983 -5.65792107971019
TRINITY_DN127604_c0_g1_i7 0.01 0.01 0.00660198886013278 -7.24288358043135
TRINITY_DN12780_c0_g2_i1 0.03 0.03 0.0198059665803983 -5.65792107971019
TRINITY_DN1278_c0_g2_i8 0.01 0.01 0.00660198886013278 -7.24288358043135
TRINITY_DN12823_c0_g1_i3 0.03 0.02 0.0198059665803983 -5.65792107971019
TRINITY_DN12823_c0_g1_i8 0.01 0.01 0.00660198886013278 -7.24288358043135
TRINITY_DN12848_c0_g1_i12 0.03 0.03 0.0198059665803983 -5.65792107971019
TRINITY_DN12864_c0_g1_i1 0.02 0.02 0.0132039777202656 -6.24288358043135
TRINITY_DN12864_c0_g4_i1 0.01 0.01 0.00660198886013278 -7.24288358043135
TRINITY_DN1286_c0_g1_i5 0.03 0.03 0.0198059665803983 -5.65792107971019
TRINITY_DN12882_c0_g1_i26 0.02 0.02 0.0132039777202656 -6.24288358043135
TRINITY_DN12885_c0_g1_i18 0.03 0.03 0.0198059665803983 -5.65792107971019
TRINITY_DN12885_c0_g1_i2 0.02 0.01 0.0132039777202656 -6.24288358043135
TRINITY_DN1288_c0_g1_i10 0.02 0.02 0.0132039777202656 -6.24288358043135
TRINITY_DN129164_c0_g1_i1 0.03 0.02 0.0198059665803983 -5.65792107971019
TRINITY_DN129164_c1_g1_i1 0.03 0.03 0.0198059665803983 -5.65792107971019
TRINITY_DN12934_c0_g1_i2 0.03 0.02 0.0198059665803983 -5.65792107971019
TRINITY_DN129465_c0_g1_i19 0.01 0.01 0.00660198886013278 -7.24288358043135
TRINITY_DN129485_c2_g1_i2 0.02 0.02 0.0132039777202656 -6.24288358043135
TRINITY_DN1295_c3_g1_i1 0.03 0.02 0.0198059665803983 -5.65792107971019
TRINITY_DN12981_c1_g1_i1 0.03 0.03 0.0198059665803983 -5.65792107971019
TRINITY_DN12998_c0_g4_i1 0.03 0.03 0.0198059665803983 -5.65792107971019
TRINITY_DN13001_c2_g1_i1 0.03 0.02 0.0198059665803983 -5.65792107971019
TRINITY_DN13015_c0_g2_i1 0.03 0.03 0.0198059665803983 -5.65792107971019
TRINITY_DN1301_c0_g2_i2 0.02 0.02 0.0132039777202656 -6.24288358043135
TRINITY_DN130421_c1_g3_i1 0.02 0.02 0.0132039777202656 -6.24288358043135
TRINITY_DN1304_c1_g1_i17 0.03 0.02 0.0198059665803983 -5.65792107971019
TRINITY_DN13071_c0_g1_i9 0.03 0.03 0.0198059665803983 -5.65792107971019
TRINITY_DN13095_c0_g1_i12 0.02 0.02 0.0132039777202656 -6.24288358043135
TRINITY_DN13095_c0_g1_i9 0.03 0.03 0.0198059665803983 -5.65792107971019
TRINITY_DN131259_c2_g2_i1 0.03 0.02 0.0198059665803983 -5.65792107971019
TRINITY_DN131294_c0_g1_i2 0.03 0.02 0.0198059665803983 -5.65792107971019
TRINITY_DN131608_c0_g3_i1 0.02 0.02 0.0132039777202656 -6.24288358043135
TRINITY_DN13212_c0_g1_i11 0.02 0.02 0.0132039777202656 -6.24288358043135
TRINITY_DN13212_c0_g1_i4 0.03 0.02 0.0198059665803983 -5.65792107971019
